"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
1.000000000E3;2.108162475E-7;2.437035822E-4;NaN;NaN;1.020639794E-7;1.179859602E-4;3.383793169E-7;3.911664904E-4;1.354110390E-7;1.565351611E-4;1.915782269E-7;2.214644303E-4
9.896907216E2;2.200775801E-7;2.597374895E-4;NaN;NaN;1.101602867E-7;1.300121362E-4;3.980569696E-7;4.697903254E-4;1.451892402E-7;1.713536142E-4;1.929234775E-7;2.276899795E-4
9.795918367E2;2.113866878E-7;2.546508636E-4;NaN;NaN;1.110443024E-7;1.337715624E-4;4.738022089E-7;5.707745502E-4;1.438596678E-7;1.733031962E-4;2.121231090E-7;2.555380069E-4
9.696969697E2;1.874371521E-7;2.304312810E-4;NaN;NaN;1.042310959E-7;1.281395107E-4;5.574809563E-7;6.853553283E-4;1.318265896E-7;1.620648286E-4;2.486010319E-7;3.056248647E-4
9.600000000E2;1.551303344E-7;1.945862268E-4;NaN;NaN;9.197680289E-8;1.153702085E-4;6.327270885E-7;7.936550720E-4;1.131550703E-7;1.419349623E-4;2.954674964E-7;3.706167816E-4
9.504950495E2;1.232067967E-7;1.576495669E-4;NaN;NaN;7.821351515E-8;1.000783002E-4;6.788083609E-7;8.685709470E-4;9.403626237E-8;1.203243362E-4;3.408622871E-7;4.361511975E-4
9.411764706E2;9.987399273E-8;1.303371210E-4;NaN;NaN;6.733011164E-8;8.786684773E-5;6.785792315E-7;8.855564999E-4;8.102331623E-8;1.057366937E-4;3.718498717E-7;4.852698927E-4
9.320388350E2;9.122969952E-8;1.214020616E-4;NaN;NaN;6.318752371E-8;8.408550820E-5;6.262887769E-7;8.334210139E-4;7.958280927E-8;1.059032000E-4;3.792347816E-7;5.046589495E-4
9.230769231E2;1.003152284E-7;1.360971131E-4;NaN;NaN;6.831371335E-8;9.268083539E-5;5.306185831E-7;7.198872838E-4;9.287835811E-8;1.260075525E-4;3.609818855E-7;4.897421186E-4
9.142857143E2;1.263820193E-7;1.747749781E-4;NaN;NaN;8.319310525E-8;1.150485902E-4;4.113327542E-7;5.688362433E-4;1.206733746E-7;1.668804353E-4;3.226744443E-7;4.462297662E-4
9.056603774E2;1.644765969E-7;2.318094893E-4;NaN;NaN;1.059986856E-7;1.493920815E-4;2.915681676E-7;4.109293924E-4;1.587775273E-7;2.237773532E-4;2.750348724E-7;3.876277508E-4
8.971962617E2;2.059259771E-7;2.957290980E-4;NaN;NaN;1.331532517E-7;1.912206104E-4;1.899316120E-7;2.727596834E-4;1.996915827E-7;2.867759205E-4;2.298193468E-7;3.300422273E-4
8.888888889E2;2.401520273E-7;3.513574255E-4;NaN;NaN;1.605957952E-7;2.349616855E-4;1.159832191E-7;1.696906985E-4;2.345966673E-7;3.432295866E-4;1.960281913E-7;2.868014956E-4
8.807339450E2;2.577441934E-7;3.841114506E-4;NaN;NaN;1.852140234E-7;2.760210667E-4;7.017413463E-8;1.045792275E-4;2.562293255E-7;3.818538707E-4;1.779206759E-7;2.651519245E-4
8.727272727E2;2.538235810E-7;3.852411807E-4;NaN;NaN;2.057860448E-7;3.123321268E-4;4.734539165E-8;7.185855037E-5;2.615080257E-7;3.969042600E-4;1.751667965E-7;2.658597095E-4
8.648648649E2;2.299110036E-7;3.553211694E-4;NaN;NaN;2.227468704E-7;3.442491974E-4;4.155747460E-8;6.422594065E-5;2.523911264E-7;3.900635845E-4;1.843476776E-7;2.849042950E-4
8.571428571E2;1.928916466E-7;3.035042897E-4;NaN;NaN;2.366082870E-7;3.722899948E-4;4.915325055E-8;7.733990900E-5;2.341163252E-7;3.683690313E-4;2.007310833E-7;3.158392078E-4
8.495575221E2;1.516483693E-7;2.428902040E-4;NaN;NaN;2.461894833E-7;3.943135960E-4;6.896512115E-8;1.104591656E-4;2.119530394E-7;3.394782101E-4;2.197055158E-7;3.518950966E-4
8.421052632E2;1.136430094E-7;1.852540864E-4;NaN;NaN;2.483649584E-7;4.048698085E-4;1.010922509E-7;1.647945851E-4;1.888542874E-7;3.078590461E-4;2.377992366E-7;3.876461962E-4
8.347826087E2;8.325100380E-8;1.381021779E-4;NaN;NaN;2.397624268E-7;3.977335024E-4;1.452635263E-7;2.409725820E-4;1.653593599E-7;2.743088575E-4;2.530992631E-7;4.198575135E-4
8.275862069E2;6.193303757E-8;1.045330753E-4;NaN;NaN;2.190271066E-7;3.696827725E-4;1.987567503E-7;3.354696487E-4;1.410812899E-7;2.381226836E-4;2.647642392E-7;4.468797471E-4
8.205128205E2;4.931175772E-8;8.467156261E-5;NaN;NaN;1.880376913E-7;3.228732029E-4;2.547183507E-7;4.373683230E-4;1.162924146E-7;1.996817984E-4;2.718492539E-7;4.667832214E-4
8.135593220E2;4.425740298E-8;7.729747520E-5;NaN;NaN;1.515107811E-7;2.646201551E-4;3.026258801E-7;5.285492344E-4;9.263310639E-8;1.617877408E-4;2.724904120E-7;4.759163314E-4
8.067226891E2;4.537524523E-8;8.059874436E-5;NaN;NaN;1.153547439E-7;2.049013172E-4;3.314938266E-7;5.888229595E-4;7.264305613E-8;1.290337734E-4;2.644420499E-7;4.697208151E-4
8.000000000E2;5.079027770E-8;9.173993909E-5;NaN;NaN;8.458285711E-8;1.527777857E-4;3.342778493E-7;6.037893653E-4;5.844636931E-8;1.055687546E-4;2.467746414E-7;4.457366961E-4
7.933884298E2;5.786166820E-8;1.062617733E-4;NaN;NaN;6.185835085E-8;1.136015995E-4;3.109841599E-7;5.711160657E-4;5.058071607E-8;9.289045326E-5;2.213758770E-7;4.065522821E-4
7.868852459E2;6.358299406E-8;1.187069110E-4;NaN;NaN;4.742002130E-8;8.853128626E-5;2.689281409E-7;5.020781006E-4;4.791284883E-8;8.945137558E-5;1.930935779E-7;3.604979997E-4
7.804878049E2;6.564480670E-8;1.245735855E-4;NaN;NaN;4.008853371E-8;7.607566591E-5;2.201582724E-7;4.177924615E-4;4.854567663E-8;9.212471335E-5;1.685025805E-7;3.197658989E-4
7.741935484E2;6.332576077E-8;1.221347237E-4;NaN;NaN;3.835487590E-8;7.397403701E-5;1.774158769E-7;3.421773200E-4;5.078569633E-8;9.794903234E-5;1.542717959E-7;2.975399416E-4
7.680000000E2;5.759728807E-8;1.128853099E-4;NaN;NaN;4.089355700E-8;8.014755570E-5;1.505668511E-7;2.950969779E-4;5.354016651E-8;1.049337302E-4;1.559145705E-7;3.055780089E-4
7.619047619E2;5.052153164E-8;1.006081045E-4;NaN;NaN;4.654579940E-8;9.269086855E-5;1.446735916E-7;2.881016340E-4;5.624331304E-8;1.120024063E-4;1.770031488E-7;3.524824112E-4
7.559055118E2;4.438403088E-8;8.979446174E-5;NaN;NaN;5.406869891E-8;1.093877600E-4;1.595698597E-7;3.228298416E-4;5.862787743E-8;1.186115500E-4;2.182397685E-7;4.415264264E-4
7.500000000E2;4.098070995E-8;8.421991237E-5;NaN;NaN;6.190020716E-8;1.272118035E-4;1.904971265E-7;3.914927613E-4;6.048599186E-8;1.243054339E-4;2.760809053E-7;5.673769359E-4
7.441860465E2;4.132844484E-8;8.626683248E-5;NaN;NaN;6.818543755E-8;1.423267133E-4;2.296611334E-7;4.793826286E-4;6.156895364E-8;1.285158111E-4;3.415903915E-7;7.130179031E-4
7.384615385E2;4.579655832E-8;9.708115038E-5;NaN;NaN;7.119507084E-8;1.509218079E-4;2.687791356E-7;5.697674375E-4;6.170584828E-8;1.308062212E-4;4.010722799E-7;8.502070843E-4
7.328244275E2;5.436900565E-8;1.170332727E-4;NaN;NaN;6.996025140E-8;1.505945728E-4;3.024077272E-7;6.509548146E-4;6.099000697E-8;1.312854637E-4;4.394855626E-7;9.460249101E-4
7.272727273E2;6.667168503E-8;1.457151346E-4;NaN;NaN;6.468177856E-8;1.413660697E-4;3.306505771E-7;7.226575019E-4;5.976096503E-8;1.306113241E-4;4.457415593E-7;9.741960368E-4
7.218045113E2;8.169385686E-8;1.812625353E-4;NaN;NaN;5.659148318E-8;1.255653253E-4;3.589882043E-7;7.965239314E-4;5.832036549E-8;1.294013738E-4;4.171500143E-7;9.255735019E-4
7.164179104E2;9.750057738E-8;2.195999072E-4;NaN;NaN;4.732855430E-8;1.065977906E-4;3.944742141E-7;8.884716699E-4;5.661483667E-8;1.275132231E-4;3.604052757E-7;8.117384249E-4
7.111111111E2;1.113753097E-7;2.546078736E-4;NaN;NaN;3.824950725E-8;8.743971827E-5;4.401950511E-7;1.006301362E-3;5.419160209E-8;1.238839076E-4;2.885508604E-7;6.596374111E-4
7.058823529E2;1.205983016E-7;2.797914096E-4;NaN;NaN;3.009213786E-8;6.981459572E-5;4.913904342E-7;1.140039457E-3;5.050662891E-8;1.171767820E-4;2.157789235E-7;5.006130963E-4
7.007299270E2;1.234898129E-7;2.907285184E-4;NaN;NaN;2.308494640E-8;5.434822602E-5;5.360678887E-7;1.262049228E-3;4.535475903E-8;1.067774060E-4;1.528857066E-7;3.599344261E-4
6.956521739E2;1.200595054E-7;2.867940195E-4;NaN;NaN;1.726555715E-8;4.124336942E-5;5.604836457E-7;1.338864066E-3;3.907936032E-8;9.335143257E-5;1.053167905E-7;2.515771289E-4
6.906474820E2;1.118973484E-7;2.711844381E-4;NaN;NaN;1.272010374E-8;3.082730944E-5;5.566401842E-7;1.349023526E-3;3.242867621E-8;7.859124868E-5;7.390917753E-8;1.791196937E-4
6.857142857E2;1.014582182E-7;2.494357340E-4;NaN;NaN;9.615693480E-9;2.364024920E-5;5.271112822E-7;1.295906748E-3;2.622028694E-8;6.446275752E-5;5.708277019E-8;1.403383869E-4
