"Delay (s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
8.020833333E-3;NaN;5.584985432E-4;1.373951350E-7;2.554513382E-3;5.110658096E-8;9.501969992E-4;2.389079549E-8;4.441886300E-4;6.650636440E-7;1.236516838E-2;7.139275259E-8;1.327366809E-3
8.041666667E-3;NaN;5.614036023E-4;1.278183080E-7;2.388817882E-3;5.176592306E-8;9.674620537E-4;2.761881161E-8;5.161726212E-4;5.288119956E-7;9.883056439E-3;6.318231226E-8;1.180824874E-3
8.062500000E-3;NaN;5.643161971E-4;1.142496414E-7;2.146308491E-3;4.942692429E-8;9.285405711E-4;3.195409682E-8;6.002937820E-4;4.625490617E-7;8.689506299E-3;5.794736145E-8;1.088606602E-3
8.083333333E-3;NaN;5.672363278E-4;9.769485454E-8;1.844805182E-3;4.483418120E-8;8.466190996E-4;3.609499445E-8;6.815940624E-4;4.795586490E-7;9.055669153E-3;5.651727414E-8;1.067234919E-3
8.104166667E-3;NaN;5.701639943E-4;8.132158667E-8;1.543548977E-3;3.974508937E-8;7.543936924E-4;3.892915067E-8;7.389065211E-4;5.802136687E-7;1.101292106E-2;5.829540481E-8;1.106493566E-3
8.125000000E-3;NaN;5.730991967E-4;6.876986588E-8;1.312026961E-3;3.634995526E-8;6.935031894E-4;3.948347230E-8;7.532860432E-4;7.513976199E-7;1.433555123E-2;6.191606132E-8;1.181266543E-3
8.145833333E-3;NaN;5.760419348E-4;6.290173132E-8;1.206233768E-3;3.647742002E-8;6.995085010E-4;3.739741357E-8;7.171507384E-4;9.652383539E-7;1.850987360E-2;6.602302846E-8;1.266089258E-3
8.166666667E-3;NaN;5.789922088E-4;6.508826028E-8;1.254556329E-3;4.086783143E-8;7.877149633E-4;3.315151759E-8;6.389853719E-4;1.180554471E-6;2.275482671E-2;6.974127714E-8;1.344241807E-3
8.187500000E-3;NaN;5.819500186E-4;7.484551448E-8;1.449994139E-3;4.881243006E-8;9.456510251E-4;2.793742046E-8;5.412361210E-4;1.350115218E-6;2.615599835E-2;7.265912755E-8;1.407636915E-3
8.208333333E-3;NaN;5.849153642E-4;8.996788269E-8;1.751843522E-3;5.834227798E-8;1.136033645E-3;2.325640008E-8;4.528457557E-4;1.433102760E-6;2.790520029E-2;7.446895350E-8;1.450050283E-3
8.229166667E-3;NaN;5.878882456E-4;1.070860025E-7;2.095763469E-3;6.694678221E-8;1.310205043E-3;2.043627625E-8;3.999551782E-4;1.407949474E-6;2.755475978E-2;7.465735255E-8;1.461107414E-3
8.250000000E-3;NaN;5.908686629E-4;1.222919738E-7;2.405490768E-3;7.256741213E-8;1.427405532E-3;2.023921843E-8;3.981066914E-4;1.279354863E-6;2.516499012E-2;7.259023398E-8;1.427854439E-3
8.270833333E-3;NaN;5.938566160E-4;1.319293103E-7;2.608180680E-3;7.439374512E-8;1.470729501E-3;2.265636376E-8;4.479057012E-4;1.075914630E-6;2.127032836E-2;6.793488990E-8;1.343040958E-3
8.291666667E-3;NaN;5.968521049E-4;1.338945507E-7;2.660384533E-3;7.301816069E-8;1.450816216E-3;2.691985725E-8;5.348774204E-4;8.396688870E-7;1.668359249E-2;6.100284040E-8;1.212080793E-3
8.312500000E-3;NaN;5.998551296E-4;1.289106960E-7;2.574246391E-3;6.984898461E-8;1.394829926E-3;3.172131593E-8;6.334500208E-4;6.127346692E-7;1.223583504E-2;5.267279345E-8;1.051834740E-3
8.333333333E-3;NaN;6.028656901E-4;1.204861626E-7;2.418090346E-3;6.617236729E-8;1.328042649E-3;3.559660608E-8;7.144041082E-4;4.267522522E-7;8.564680617E-3;4.399182486E-8;8.828914851E-4
8.354166667E-3;NaN;6.058837865E-4;1.131954698E-7;2.283143241E-3;6.249051868E-8;1.260428581E-3;3.738956118E-8;7.541443495E-4;2.982545862E-7;6.015770279E-3;3.579580650E-8;7.219984497E-4
8.375000000E-3;NaN;6.089094187E-4;1.104164329E-7;2.238211830E-3;5.853008940E-8;1.186442408E-3;3.663804313E-8;7.426766054E-4;2.294818256E-7;4.651743616E-3;2.855604876E-8;5.788494020E-4
8.395833333E-3;NaN;6.119425867E-4;1.128504812E-7;2.298946558E-3;5.381844065E-8;1.096368554E-3;3.370871161E-8;6.867008956E-4;2.120371572E-7;4.319539336E-3;2.245723581E-8;4.574901623E-4
8.416666667E-3;NaN;6.149832905E-4;1.182782825E-7;2.421492386E-3;4.839113444E-8;9.907039662E-4;2.958707715E-8;6.057315048E-4;2.310335731E-7;4.729913441E-3;1.757975878E-8;3.599075935E-4
8.437500000E-3;NaN;6.180315301E-4;1.225617746E-7;2.521624731E-3;4.320673869E-8;8.889491126E-4;2.541329424E-8;5.228611566E-4;2.688554706E-7;5.531517519E-3;1.401932368E-8;2.884380012E-4
8.458333333E-3;NaN;6.210873056E-4;1.217024386E-7;2.516324902E-3;4.004793929E-8;8.280329309E-4;2.201291175E-8;4.551399188E-4;3.088194787E-7;6.385164945E-3;1.183020220E-8;2.446017742E-4
8.479166667E-3;NaN;6.241506169E-4;1.139951924E-7;2.368594531E-3;4.095611347E-8;8.509869966E-4;1.966690199E-8;4.086393078E-4;3.390176492E-7;7.044115926E-3;1.089845766E-8;2.264483851E-4
8.500000000E-3;NaN;6.272214640E-4;1.008133746E-7;2.105008466E-3;4.745161125E-8;9.908015058E-4;1.820186079E-8;3.800594039E-4;3.557468918E-7;7.428084038E-3;1.093925840E-8;2.284144502E-4
8.520833333E-3;NaN;6.302998469E-4;8.557257339E-8;1.795546169E-3;5.981758068E-8;1.255136121E-3;1.727464163E-8;3.624691343E-4;3.650298902E-7;7.659323483E-3;1.164092161E-8;2.442583105E-4
8.541666667E-3;NaN;6.333857657E-4;7.187206159E-8;1.515455485E-3;7.666129782E-8;1.616438734E-3;1.663275778E-8;3.507093501E-4;3.808106590E-7;8.029567944E-3;1.279469537E-8;2.697820384E-4
8.562500000E-3;NaN;6.364792203E-4;6.201832579E-8;1.314071662E-3;9.492219018E-8;2.011253265E-3;1.619630900E-8;3.431745443E-4;4.195978308E-7;8.890624053E-3;1.428242337E-8;3.026222907E-4
8.583333333E-3;NaN;6.395802106E-4;5.634765535E-8;1.199735886E-3;1.104760272E-7;2.352219514E-3;1.595279446E-8;3.396616928E-4;4.930077321E-7;1.049695972E-2;1.596183398E-8;3.398541593E-4
8.604166667E-3;NaN;6.426887369E-4;5.335503377E-8;1.141539307E-3;1.193040503E-7;2.552528848E-3;1.579352949E-8;3.379050381E-4;6.012276141E-7;1.286335901E-2;1.758504526E-8;3.762347987E-4
8.625000000E-3;NaN;6.458047989E-4;5.067360696E-8;1.089426334E-3;1.188676898E-7;2.555523463E-3;1.545809445E-8;3.323318818E-4;7.305209001E-7;1.570538893E-2;1.884240890E-8;4.050908880E-4
8.645833333E-3;NaN;6.489283968E-4;4.648106041E-8;1.004124558E-3;1.090599698E-7;2.356008943E-3;1.464491825E-8;3.163723447E-4;8.563923210E-7;1.850053663E-2;1.948260386E-8;4.208802644E-4
8.666666667E-3;NaN;6.520595304E-4;4.036772565E-8;8.762667060E-4;9.221725479E-8;2.001770196E-3;1.319846580E-8;2.865005635E-4;9.515041940E-7;2.065440726E-2;1.939627468E-8;4.210370897E-4
8.687500000E-3;NaN;6.551981999E-4;3.316357378E-8;7.233505280E-4;7.217164866E-8;1.574178963E-3;1.121938660E-8;2.447127464E-4;9.952804522E-7;2.170865678E-2;1.862654495E-8;4.062747043E-4
8.708333333E-3;NaN;6.583444053E-4;2.623805369E-8;5.750419763E-4;5.286339132E-8;1.158571797E-3;9.021503291E-9;1.977182889E-4;9.812277610E-7;2.150491639E-2;1.735152174E-8;3.802817645E-4
8.729166667E-3;NaN;6.614981464E-4;2.092930608E-8;4.608910168E-4;3.718226016E-8;8.188025740E-4;6.979065226E-9;1.536882520E-4;9.188380120E-7;2.023402897E-2;1.587648411E-8;3.496211903E-4
8.750000000E-3;NaN;6.646594234E-4;1.817137059E-8;4.020699671E-4;2.643286565E-8;5.848684538E-4;5.365983884E-9;1.187307778E-4;8.292305616E-7;1.834802185E-2;1.464852358E-8;3.241214725E-4
8.770833333E-3;NaN;6.678282361E-4;1.821555695E-8;4.049692187E-4;2.044553541E-8;4.545462171E-4;4.282567795E-9;9.521027213E-5;7.365271789E-7;1.637451092E-2;1.432247790E-8;3.184180809E-4
8.791666667E-3;NaN;6.710045847E-4;2.058679236E-8;4.598635145E-4;1.810790945E-8;4.044907403E-4;3.706185549E-9;8.278800710E-5;6.588622375E-7;1.471752854E-2;1.584107628E-8;3.538546893E-4
8.812500000E-3;NaN;6.741884692E-4;2.438057928E-8;5.471924833E-4;1.799932143E-8;4.039729031E-4;3.618980089E-9;8.122361160E-5;6.028152119E-7;1.352945511E-2;2.038285602E-8;4.574684414E-4
8.833333333E-3;NaN;6.773798894E-4;2.866070499E-8;6.462996936E-4;1.887786818E-8;4.256964519E-4;4.114648488E-9;9.278543771E-5;5.632731263E-7;1.270182464E-2;2.899558511E-8;6.538512497E-4
8.854166667E-3;NaN;6.805788455E-4;3.277544648E-8;7.425776003E-4;1.998171269E-8;4.527160985E-4;5.429754740E-9;1.230193537E-4;5.281660114E-7;1.196640447E-2;4.194352961E-8;9.502944706E-4
8.875000000E-3;NaN;6.837853374E-4;3.662370296E-8;8.336750787E-4;2.123376737E-8;4.833498868E-4;7.932009056E-9;1.805584291E-4;4.854797570E-7;1.105110466E-2;5.810417053E-8;1.322640668E-3
8.895833333E-3;NaN;6.869993651E-4;4.080957620E-8;9.333256529E-4;2.337293215E-8;5.345450551E-4;1.207267100E-8;2.761051350E-4;4.291401705E-7;9.814547641E-3;7.488221033E-8;1.712575683E-3
8.916666667E-3;NaN;6.902209286E-4;4.632851057E-8;1.064513673E-3;2.781862627E-8;6.392026784E-4;1.823428074E-8;4.189783123E-4;3.613881598E-7;8.303798952E-3;8.886393582E-8;2.041871702E-3
8.937500000E-3;NaN;6.934500280E-4;5.381849237E-8;1.242400107E-3;3.610304724E-8;8.334389865E-4;2.644738349E-8;6.105379512E-4;2.912389680E-7;6.723252714E-3;9.700050357E-8;2.239257004E-3
8.958333333E-3;NaN;6.966866631E-4;6.291156755E-8;1.459092368E-3;4.896859792E-8;1.135716534E-3;3.613266004E-8;8.380158139E-4;2.303803275E-7;5.343153740E-3;9.777992508E-8;2.267785527E-3
8.979166667E-3;NaN;6.999308341E-4;7.216496475E-8;1.681497834E-3;6.556073191E-8;1.527614252E-3;4.612955160E-8;1.074853170E-3;1.885976647E-7;4.394467116E-3;9.178937765E-8;2.138761381E-3
9.000000000E-3;NaN;7.031825410E-4;7.962686737E-8;1.863985338E-3;8.319685898E-8;1.947555272E-3;5.508922859E-8;1.289583752E-3;1.703442941E-7;3.987589581E-3;8.132291512E-8;1.903688120E-3
9.020833333E-3;NaN;7.064417836E-4;8.370073222E-8;1.968432006E-3;9.796204278E-8;2.303822384E-3;6.203980067E-8;1.459021039E-3;1.734348580E-7;4.078754348E-3;6.927824639E-8;1.629251190E-3
9.041666667E-3;NaN;7.097085621E-4;8.384067035E-8;1.980840783E-3;1.060145390E-7;2.504726185E-3;6.676467934E-8;1.577399121E-3;1.900832970E-7;4.490955825E-3;5.806180513E-8;1.371782824E-3
9.062500000E-3;NaN;7.129828763E-4;8.066909782E-8;1.914701519E-3;1.050910717E-7;2.494363269E-3;6.972077638E-8;1.654840330E-3;2.098031595E-7;4.979731261E-3;4.911974170E-8;1.165869541E-3
9.083333333E-3;NaN;7.162647264E-4;7.546241061E-8;1.799363974E-3;9.547974688E-8;2.276667487E-3;7.151110424E-8;1.705147022E-3;2.230343422E-7;5.318143922E-3;4.306265138E-8;1.026807690E-3
9.104166667E-3;NaN;7.195541124E-4;6.943266902E-8;1.663190907E-3;7.990869724E-8;1.914133801E-3;7.225999671E-8;1.730916745E-3;2.241620487E-7;5.369580147E-3;3.995169323E-8;9.570032931E-4
9.125000000E-3;NaN;7.228510341E-4;6.333179537E-8;1.524001480E-3;6.240949798E-8;1.501807532E-3;7.137521792E-8;1.717556516E-3;2.127956656E-7;5.120665022E-3;3.944202513E-8;9.491236485E-4
9.145833333E-3;NaN;7.261554917E-4;5.754806415E-8;1.391153740E-3;4.677398358E-8;1.130703580E-3;6.794123724E-8;1.642395929E-3;1.928504465E-7;4.661922582E-3;4.077681651E-8;9.857294353E-4
9.166666667E-3;NaN;7.294674850E-4;5.241747413E-8;1.272907398E-3;3.534373724E-8;8.582882968E-4;6.148544870E-8;1.493114344E-3;1.699326080E-7;4.126648174E-3;4.278068117E-8;1.038887250E-3
9.187500000E-3;NaN;7.327870143E-4;4.843545267E-8;1.181560353E-3;2.856259755E-8;6.967712902E-4;5.254229748E-8;1.281744923E-3;1.484355129E-7;3.621015338E-3;4.406317136E-8;1.074900583E-3
9.208333333E-3;NaN;7.361140793E-4;4.627083545E-8;1.133880399E-3;2.531802366E-8;6.204255981E-4;4.261675647E-8;1.044336121E-3;1.299192631E-7;3.183709660E-3;4.352508406E-8;1.066594955E-3
9.229166667E-3;NaN;7.394486801E-4;4.674378093E-8;1.150659052E-3;2.379268999E-8;5.856880545E-4;3.364440374E-8;8.282008204E-4;1.134443241E-7;2.792579800E-3;4.096335730E-8;1.008366395E-3
9.250000000E-3;NaN;7.427908168E-4;5.098104101E-8;1.260636878E-3;2.238129904E-8;5.534349709E-4;2.734806078E-8;6.762508822E-4;9.722695736E-8;2.404185665E-3;3.733686156E-8;9.232495777E-4
9.270833333E-3;NaN;7.461404893E-4;6.083404797E-8;1.511061380E-3;2.028440539E-8;5.038458333E-4;2.481753503E-8;6.164445729E-4;8.030027916E-8;1.994584524E-3;3.441389073E-8;8.548091562E-4
9.291666667E-3;NaN;7.494976976E-4;7.914826398E-8;1.974815281E-3;1.766220082E-8;4.406866595E-4;2.636626206E-8;6.578602561E-4;6.318974739E-8;1.576636965E-3;3.396858417E-8;8.475445412E-4
9.312500000E-3;NaN;7.528624417E-4;1.091322326E-7;2.735164521E-3;1.551423625E-8;3.888309396E-4;3.155390576E-8;7.908307329E-4;4.744583022E-8;1.189127615E-3;3.698055711E-8;9.268380692E-4
9.333333333E-3;NaN;7.562347217E-4;1.524023178E-7;3.836745285E-3;1.549677320E-8;3.901329873E-4;3.925309822E-8;9.882011092E-4;3.462817924E-8;8.717682599E-4;4.322337204E-8;1.088153194E-3
9.354166667E-3;NaN;7.596145375E-4;2.065393565E-7;5.222889885E-3;1.979556836E-8;5.005829180E-4;4.776903205E-8;1.207965390E-3;2.560623254E-8;6.475208172E-4;5.141503147E-8;1.300164057E-3
9.375000000E-3;NaN;7.630018891E-4;2.639039227E-7;6.703262725E-3;3.098203927E-8;7.869558998E-4;5.515072952E-8;1.400850073E-3;2.069185593E-8;5.255812235E-4;5.993320054E-8;1.522326705E-3
9.395833333E-3;NaN;7.663967765E-4;3.129969753E-7;7.985619121E-3;5.171175801E-8;1.319343113E-3;5.977196451E-8;1.524986439E-3;2.049503496E-8;5.228981620E-4;6.782487654E-8;1.730443658E-3
9.416666667E-3;NaN;7.697991997E-4;3.421743671E-7;8.768790825E-3;8.411434147E-8;2.155570775E-3;6.096579858E-8;1.562350622E-3;2.703717449E-8;6.928728459E-4;7.555806058E-8;1.936301757E-3
9.437500000E-3;NaN;7.732091588E-4;3.441017336E-7;8.857244487E-3;1.288620085E-7;3.316932764E-3;5.929416169E-8;1.526243071E-3;4.474510900E-8;1.151747670E-3;8.499739973E-8;2.187849338E-3
9.458333333E-3;NaN;7.766266537E-4;3.187450181E-7;8.240820969E-3;1.841664686E-7;4.761432526E-3;5.618943649E-8;1.452719447E-3;8.106866104E-8;2.095945925E-3;9.850150741E-8;2.546654039E-3
9.479166667E-3;NaN;7.800516844E-4;2.732271165E-7;7.095156189E-3;2.452069792E-7;6.367529833E-3;5.315387664E-8;1.380298784E-3;1.463464587E-7;3.800321855E-3;1.176183161E-7;3.054310034E-3
9.500000000E-3;NaN;7.834842509E-4;2.185709643E-7;5.700822534E-3;3.044810734E-7;7.941551478E-3;5.101129619E-8;1.330489380E-3;2.524348414E-7;6.584068642E-3;1.420166143E-7;3.704112838E-3
9.520833333E-3;NaN;7.869243532E-4;1.652909721E-7;4.330089789E-3;3.532491098E-7;9.253986131E-3;4.965688525E-8;1.300850065E-3;4.098359080E-7;1.073637754E-2;1.691405888E-7;4.430937318E-3
9.541666667E-3;NaN;7.903719914E-4;1.203228521E-7;3.165879947E-3;3.837957654E-7;1.009825894E-2;4.840491364E-8;1.273607986E-3;6.237008437E-7;1.641053182E-2;1.947643931E-7;5.124551782E-3
9.562500000E-3;NaN;7.938271654E-4;8.641667619E-8;2.283696032E-3;3.918743932E-7;1.035589468E-2;4.667852973E-8;1.233553266E-3;8.898612772E-7;2.351597814E-2;2.143195834E-7;5.663730703E-3
9.583333333E-3;NaN;7.972898752E-4;6.332630295E-8;1.680796618E-3;3.785206436E-7;1.004663446E-2;4.459765744E-8;1.183703900E-3;1.192436811E-6;3.164946737E-2;2.245962709E-7;5.961198349E-3
9.604166667E-3;NaN;8.007601208E-4;4.940818650E-8;1.317092062E-3;3.503855614E-7;9.340355806E-3;4.309168318E-8;1.148710728E-3;1.504297127E-6;4.010059762E-2;2.252036474E-7;6.003335832E-3
9.625000000E-3;NaN;8.042379023E-4;4.267090073E-8;1.142434026E-3;3.180630632E-7;8.515547119E-3;4.343689995E-8;1.162942231E-3;1.790678681E-6;4.794209215E-2;2.191092410E-7;5.866242522E-3
9.645833333E-3;NaN;8.077232195E-4;4.108658524E-8;1.104784056E-3;2.925944382E-7;7.867620742E-3;4.646987831E-8;1.249536323E-3;2.015132967E-6;5.418524708E-2;2.117735052E-7;5.694413170E-3
9.666666667E-3;NaN;8.112160726E-4;4.249951357E-8;1.147718253E-3;2.813113847E-7;7.596938972E-3;5.192838293E-8;1.402349060E-3;2.146350403E-6;5.796314657E-2;2.089350537E-7;5.642383985E-3
9.687500000E-3;NaN;8.147164615E-4;4.472669526E-8;1.213076206E-3;2.848562950E-7;7.725864644E-3;5.831790081E-8;1.581696511E-3;2.164383107E-6;5.870233946E-2;2.139342068E-7;5.802317708E-3
9.708333333E-3;NaN;8.182243863E-4;4.614500132E-8;1.256932235E-3;2.970355769E-7;8.090878335E-3;6.339483330E-8;1.726796126E-3;2.065067891E-6;5.624987161E-2;2.260459618E-7;6.157209836E-3
9.729166667E-3;NaN;8.217398468E-4;4.643670482E-8;1.270312359E-3;3.078806391E-7;8.422315547E-3;6.504453290E-8;1.779344042E-3;1.861628465E-6;5.092630187E-2;2.410609803E-7;6.594411548E-3
9.750000000E-3;NaN;8.252628432E-4;4.680091590E-8;1.285764488E-3;3.085036097E-7;8.475538951E-3;6.213521403E-8;1.707044618E-3;1.582754498E-6;4.348311323E-2;2.540355114E-7;6.979133483E-3
9.770833333E-3;NaN;8.287933754E-4;4.939096699E-8;1.362726127E-3;2.951503456E-7;8.143373408E-3;5.493478864E-8;1.515683460E-3;1.267156442E-6;3.496159915E-2;2.624112301E-7;7.240081758E-3
9.791666667E-3;NaN;8.323314434E-4;5.627175903E-8;1.559199099E-3;2.702757564E-7;7.488902481E-3;4.491393652E-8;1.244492274E-3;9.557837757E-7;2.648321693E-2;2.672464140E-7;7.404964320E-3
9.812500000E-3;NaN;8.358770473E-4;6.835936199E-8;1.902195645E-3;2.403470598E-7;6.687995866E-3;3.408301462E-8;9.484079442E-4;6.839325320E-7;1.903138715E-2;2.716224861E-7;7.558278705E-3
9.833333333E-3;NaN;8.394301869E-4;8.464288195E-8;2.365319473E-3;2.120890139E-7;5.926762689E-3;2.424355417E-8;6.774787135E-4;4.756263313E-7;1.329123250E-2;2.774808278E-7;7.754116948E-3
9.854166667E-3;NaN;8.429908624E-4;1.020244429E-7;2.863135366E-3;1.895998271E-7;5.320783480E-3;1.650329893E-8;4.631358671E-4;3.415845897E-7;9.585966768E-3;2.833051407E-7;7.950457209E-3
9.875000000E-3;NaN;8.465590737E-4;1.161427573E-7;3.273137002E-3;1.737242373E-7;4.895899171E-3;1.118879727E-8;3.153228596E-4;2.803483733E-7;7.900782237E-3;2.843946098E-7;8.014813336E-3
9.895833333E-3;NaN;8.501348208E-4;1.230511461E-7;3.482476949E-3;1.633238888E-7;4.622237954E-3;8.085752056E-9;2.288352936E-4;2.808593478E-7;7.948615152E-3;2.756142682E-7;7.800173880E-3
9.916666667E-3;NaN;8.537181038E-4;1.208899913E-7;3.435734690E-3;1.569161859E-7;4.459611399E-3;6.804902437E-9;1.933976428E-4;3.250667432E-7;9.238507455E-3;2.547200886E-7;7.239231594E-3
9.937500000E-3;NaN;8.573089225E-4;1.105925703E-7;3.156298563E-3;1.533881103E-7;4.377678095E-3;7.056760399E-9;2.013990873E-4;3.904020973E-7;1.114202858E-2;2.239349952E-7;6.391077647E-3
9.958333333E-3;NaN;8.609072771E-4;9.533989430E-8;2.732409756E-3;1.516180709E-7;4.345323635E-3;8.701082932E-9;2.493701516E-4;4.530160359E-7;1.298328937E-2;1.887764788E-7;5.410271286E-3
9.979166667E-3;NaN;8.645131675E-4;7.921913493E-8;2.279903632E-3;1.499251074E-7;4.314800927E-3;1.160350767E-8;3.339455715E-4;4.923579543E-7;1.416991854E-2;1.552721511E-7;4.468687287E-3
1.000000000E-2;NaN;8.681265938E-4;6.583882042E-8;1.902741910E-3;1.464226070E-7;4.231613341E-3;1.545097016E-8;4.465330375E-4;4.962040978E-7;1.434029843E-2;1.277738161E-7;3.692663285E-3
1.002083333E-2;NaN;8.717475558E-4;5.747383300E-8;1.667921790E-3;1.403648366E-7;4.073463651E-3;1.967253697E-8;5.709076872E-4;4.639897465E-7;1.346523397E-2;1.085949441E-7;3.151484148E-3
1.004166667E-2;NaN;8.753760537E-4;5.489291811E-8;1.599652920E-3;1.333994448E-7;3.887437918E-3;2.352818254E-8;6.856426511E-4;4.064628571E-7;1.184487031E-2;9.879204759E-8;2.878932161E-3
1.006250000E-2;NaN;8.790120874E-4;5.760658180E-8;1.685705624E-3;1.293330469E-7;3.784592623E-3;2.633362650E-8;7.705845567E-4;3.414078007E-7;9.990404425E-3;9.866248917E-8;2.887099142E-3
1.008333333E-2;NaN;8.826556569E-4;6.413556884E-8;1.884538622E-3;1.321331044E-7;3.882556013E-3;2.770344468E-8;8.140289764E-4;2.872571028E-7;8.440668953E-3;1.073399861E-7;3.154043117E-3
1.010416667E-2;NaN;8.863067622E-4;7.219083343E-8;2.130006363E-3;1.433200902E-7;4.228690675E-3;2.766201707E-8;8.161738769E-4;2.573977839E-7;7.594578030E-3;1.220913359E-7;3.602331626E-3
1.012500000E-2;NaN;8.899654034E-4;7.899625230E-8;2.340423201E-3;1.604598204E-7;4.753945607E-3;2.653488547E-8;7.861494665E-4;2.572840562E-7;7.622558754E-3;1.382374447E-7;4.095562934E-3
1.014583333E-2;NaN;8.936315804E-4;8.201197313E-8;2.439779350E-3;1.777796149E-7;5.288776951E-3;2.469642456E-8;7.346954885E-4;2.847010031E-7;8.469588058E-3;1.502124209E-7;4.468678764E-3
1.016666667E-2;NaN;8.973052932E-4;7.989409235E-8;2.386545283E-3;1.886935808E-7;5.636534091E-3;2.236917071E-8;6.681975760E-4;3.321086408E-7;9.920537136E-3;1.535644184E-7;4.587178196E-3
1.018750000E-2;NaN;9.009865418E-4;7.316909278E-8;2.194627195E-3;1.888685143E-7;5.664905250E-3;1.961294123E-8;5.882687972E-4;3.895931352E-7;1.168542149E-2;1.468623672E-7;4.404976648E-3
1.020833333E-2;NaN;9.046753262E-4;6.413983817E-8;1.931680910E-3;1.781106369E-7;5.364106413E-3;1.647675228E-8;4.962255712E-4;4.474366188E-7;1.347531892E-2;1.322272673E-7;3.982250271E-3
1.022916667E-2;NaN;9.083716465E-4;5.605945116E-8;1.695224396E-3;1.600880852E-7;4.841025413E-3;1.316961276E-8;3.982459404E-4;4.980091252E-7;1.505967685E-2;1.140719273E-7;3.449507800E-3
1.025000000E-2;NaN;9.120755026E-4;5.211359934E-8;1.582328474E-3;1.403131147E-7;4.260335871E-3;1.012757627E-8;3.075042311E-4;5.368922039E-7;1.630169154E-2;9.699166039E-8;2.944963846E-3
1.027083333E-2;NaN;9.157868945E-4;5.469214299E-8;1.667378308E-3;1.238589994E-7;3.776041632E-3;7.962155402E-9;2.427391665E-4;5.630659632E-7;1.716597525E-2;8.416569460E-8;2.565927129E-3
1.029166667E-2;NaN;9.195058222E-4;6.505997810E-8;1.991513151E-3;1.140945465E-7;3.492481805E-3;7.354188644E-9;2.251147914E-4;5.780912752E-7;1.769561581E-2;7.691035169E-8;2.354258045E-3
1.031250000E-2;NaN;9.232322858E-4;8.315183677E-8;2.555627853E-3;1.126448025E-7;3.462078603E-3;8.966426402E-9;2.755783871E-4;5.846382372E-7;1.796854792E-2;7.513919026E-8;2.309363389E-3
1.033333333E-2;NaN;9.269662851E-4;1.073011386E-7;3.311181990E-3;1.198291689E-7;3.697781693E-3;1.338238449E-8;4.129640291E-4;5.854301355E-7;1.806565846E-2;7.816945113E-8;2.412213721E-3
1.035416667E-2;NaN;9.307078203E-4;1.340622204E-7;4.153694521E-3;1.348050205E-7;4.176708944E-3;2.097755955E-8;6.499547293E-4;5.838368222E-7;1.808921113E-2;8.532439457E-8;2.643634195E-3
1.037500000E-2;NaN;9.344568913E-4;1.585072916E-7;4.930867116E-3;1.553324248E-7;4.832102913E-3;3.164950832E-8;9.845573556E-4;5.866761525E-7;1.825040425E-2;9.598810422E-8;2.986011445E-3
1.039583333E-2;NaN;9.382134982E-4;1.752722504E-7;5.474312961E-3;1.777672801E-7;5.552240718E-3;4.448118427E-8;1.389289651E-3;6.081729442E-7;1.899518620E-2;1.092323171E-7;3.411674626E-3
1.041666667E-2;NaN;9.419776408E-4;1.801991947E-7;5.650777699E-3;1.979527110E-7;6.207501464E-3;5.761881130E-8;1.806839894E-3;6.723094866E-7;2.108262170E-2;1.236534569E-7;3.877587788E-3
1.043750000E-2;NaN;9.457493193E-4;1.719115287E-7;5.412473987E-3;2.129567769E-7;6.704745305E-3;6.861127043E-8;2.160161794E-3;8.100274529E-7;2.550295812E-2;1.379372558E-7;4.342825722E-3
1.045833333E-2;NaN;9.495285336E-4;1.524669475E-7;4.819461417E-3;2.225985248E-7;7.036311930E-3;7.518817475E-8;2.376688936E-3;1.049183101E-6;3.316454851E-2;1.517627544E-7;4.797201959E-3
1.047916667E-2;NaN;9.533152837E-4;1.266359696E-7;4.018911270E-3;2.294004649E-7;7.280238915E-3;7.613307897E-8;2.416154669E-3;1.399061421E-6;4.440052643E-2;1.660380202E-7;5.269372303E-3
1.050000000E-2;NaN;9.571095696E-4;1.001126227E-7;3.189813412E-3;2.366436385E-7;7.539998771E-3;7.178777585E-8;2.287320061E-3;1.835863341E-6;5.849473674E-2;1.819405497E-7;5.797035281E-3
1.052083333E-2;NaN;9.609113914E-4;7.757457944E-8;2.481518710E-3;2.458659339E-7;7.864959366E-3;6.388668255E-8;2.043659137E-3;2.297851289E-6;7.350553503E-2;1.994282901E-7;6.379474265E-3
1.054166667E-2;NaN;9.647207490E-4;6.148521993E-8;1.974636373E-3;2.558396142E-7;8.216449553E-3;5.478372032E-8;1.759413513E-3;2.696269361E-6;8.659238036E-2;2.164923403E-7;6.952787193E-3
