"Delay (s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
2.833333333E-3;NaN;6.969127378E-5;4.605458657E-7;1.068479201E-3;5.341741166E-7;1.239298789E-3;4.191472621E-8;9.724332911E-5;5.339357537E-7;1.238745780E-3;6.833689024E-7;1.585434836E-3
2.854166667E-3;NaN;7.071991336E-5;4.812724758E-7;1.133045961E-3;5.366744108E-7;1.263477145E-3;4.280360386E-8;1.007712947E-4;4.145642348E-7;9.759966665E-4;6.015987220E-7;1.416326586E-3
2.875000000E-3;NaN;7.175608877E-5;4.596327247E-7;1.097954853E-3;5.261390111E-7;1.256822784E-3;4.425236305E-8;1.057085237E-4;3.029003425E-7;7.235579260E-4;5.341543510E-7;1.275969552E-3
2.895833333E-3;NaN;7.279979999E-5;4.010289574E-7;9.718980297E-4;4.989343456E-7;1.209172800E-3;4.716971571E-8;1.143163178E-4;2.157370183E-7;5.228410048E-4;4.904006451E-7;1.188491285E-3
2.916666667E-3;NaN;7.385104704E-5;3.205616696E-7;7.881030908E-4;4.574513276E-7;1.124647266E-3;5.231804727E-8;1.286242825E-4;1.613884872E-7;3.967747166E-4;4.756456109E-7;1.169378037E-3
2.937500000E-3;NaN;7.490982991E-5;2.370552428E-7;5.911574377E-4;4.106271874E-7;1.024003153E-3;5.999409150E-8;1.496105000E-4;1.394889039E-7;3.478509990E-4;4.928903082E-7;1.229147131E-3
2.958333333E-3;NaN;7.597614860E-5;1.665268840E-7;4.211884105E-4;3.705902284E-7;9.373159785E-4;6.962275078E-8;1.760934633E-4;1.430426499E-7;3.617908707E-4;5.412469710E-7;1.368949841E-3
2.979166667E-3;NaN;7.705000311E-5;1.177952579E-7;3.021448877E-4;3.486291986E-7;8.942340458E-4;7.964398213E-8;2.042868487E-4;1.614284252E-7;4.140639808E-4;6.133542978E-7;1.573254040E-3
3.000000000E-3;NaN;7.813139344E-5;9.196640602E-8;2.392046221E-4;3.524720464E-7;9.167797927E-4;8.795575994E-8;2.287729316E-4;1.834657032E-7;4.771942940E-4;6.950325230E-7;1.807779592E-3
3.020833333E-3;NaN;7.922031959E-5;8.523290777E-8;2.247805230E-4;3.857096426E-7;1.017212922E-3;9.280320582E-8;2.447452948E-4;2.000747067E-7;5.276471072E-4;7.691466135E-7;2.028432240E-3
3.041666667E-3;NaN;8.031678157E-5;9.215665047E-8;2.464040042E-4;4.488887058E-7;1.200216956E-3;9.366049418E-8;2.504249089E-4;2.062308430E-7;5.514100744E-4;8.229273174E-7;2.200303344E-3
3.062500000E-3;NaN;8.142077936E-5;1.076257103E-7;2.917199082E-4;5.396984845E-7;1.462854850E-3;9.156957599E-8;2.481996934E-4;2.016950894E-7;5.466953276E-4;8.539371366E-7;2.314599944E-3
3.083333333E-3;NaN;8.253231298E-5;1.275363031E-7;3.504068785E-4;6.502448354E-7;1.786552201E-3;8.862570301E-8;2.434997345E-4;1.900296456E-7;5.221077710E-4;8.691260770E-7;2.387929932E-3
3.104166667E-3;NaN;8.365138241E-5;1.485969643E-7;4.138070087E-4;7.637913491E-7;2.126976247E-3;8.685079607E-8;2.418586967E-4;1.762148994E-7;4.907163533E-4;8.769290885E-7;2.442037795E-3
3.125000000E-3;NaN;8.477798767E-5;1.681840053E-7;4.746599369E-4;8.559915608E-7;2.415835557E-3;8.719073469E-8;2.460754133E-4;1.642135266E-7;4.634541913E-4;8.788470468E-7;2.480339810E-3
3.145833333E-3;NaN;8.591212875E-5;1.848957020E-7;5.288056400E-4;9.024402393E-7;2.580998277E-3;8.940483063E-8;2.556997170E-4;1.560051683E-7;4.461780991E-4;8.673445354E-7;2.480623817E-3
