"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
7.933884298E2;1.250636897E-5;2.296769149E-2;1.797945288E-5;3.301889845E-2;1.242411263E-5;2.281662940E-2;7.565433077E-5;1.389376352E-1;1.730209481E-5;3.177494417E-2;9.523556878E-7;1.748981793E-3
7.868852459E2;1.355252461E-5;2.530202229E-2;1.861409285E-5;3.475176808E-2;1.379759443E-5;2.575955786E-2;7.513039198E-5;1.402654418E-1;1.553274274E-5;2.899901046E-2;9.623571690E-7;1.796682407E-3
7.804878049E2;1.457449087E-5;2.765788608E-2;1.861073474E-5;3.531743138E-2;1.536322145E-5;2.915465333E-2;7.365007795E-5;1.397651200E-1;1.384795261E-5;2.627914066E-2;1.151834875E-6;2.185827144E-3
7.741935484E2;1.523336523E-5;2.938018953E-2;1.795039560E-5;3.462045431E-2;1.665523081E-5;3.212250416E-2;7.153232642E-5;1.379625103E-1;1.235817326E-5;2.383488265E-2;1.478775977E-6;2.852076204E-3
7.680000000E2;1.546253745E-5;3.030513050E-2;1.674542710E-5;3.281947450E-2;1.745667722E-5;3.421345836E-2;6.896652207E-5;1.351679476E-1;1.120476780E-5;2.196029930E-2;1.875175543E-6;3.675169080E-3
7.619047619E2;1.548667870E-5;3.084002678E-2;1.522237613E-5;3.031369711E-2;1.789191700E-5;3.562979579E-2;6.597534851E-5;1.313826905E-1;1.040533208E-5;2.072108074E-2;2.254638253E-6;4.489865480E-3
7.559055118E2;1.567051144E-5;3.170341027E-2;1.365882827E-5;2.763352286E-2;1.832569015E-5;3.707516984E-2;6.245678654E-5;1.263579134E-1;9.825965773E-6;1.987916127E-2;2.529361786E-6;5.117216161E-3
7.500000000E2;1.627629794E-5;3.344960074E-2;1.229880994E-5;2.527542096E-2;1.911039892E-5;3.927399316E-2;5.827843713E-5;1.197686637E-1;9.261007931E-6;1.903240030E-2;2.633198968E-6;5.411516456E-3
7.441860465E2;1.726997321E-5;3.604843810E-2;1.128262144E-5;2.355075343E-2;2.032343762E-5;4.242207988E-2;5.337983721E-5;1.114222781E-1;8.546878048E-6;1.784030586E-2;2.541460817E-6;5.304912279E-3
7.384615385E2;1.829767234E-5;3.878804752E-2;1.061872167E-5;2.250993859E-2;2.166063927E-5;4.591698274E-2;4.784191564E-5;1.014169706E-1;7.640507296E-6;1.619661531E-2;2.277859618E-6;4.828686701E-3
