room,occupancy,raw_peak,raw_peak_dist,raw_near,raw_mid,raw_far,raw_mean,raw_std,res_peak,res_peak_dist,res_near,res_mid,res_far,res_mean,res_std
room1,empty,0.01196152326,210.0208333,0.0007142808433222561,0.003178449499334222,0.004334188929892433,0.002936386120766017,0.0030175310237790004,5.119999046450573,264.5625,0.17253568928243637,1.0854544561005735,2.91009445866679,1.5171222607950035,2.154013107576947
room1,empty,0.001188995766,210.0208333,0.00013423923906396342,0.00030361807125233494,0.0005853094471761159,0.00036248597079905834,0.0004461076228318306,6.459860886615014,296.4375,0.2526477739385205,2.0815403806079633,4.979497764804579,2.663547158218386,2.951577940658363
room1,empty,0.03938693566,296.4375,0.0012688092069543292,0.008470214649352359,0.02705828563937054,0.013441376998037017,0.020570662560642168,15.942300190437056,296.4375,0.4099591166400705,2.685552401409684,10.213951836532711,4.87415935935192,8.848457762498377
room1,empty,0.02030373059,264.5625,0.0002565234014776524,0.003889985962948962,0.0034081981980660717,0.0027169720972571917,0.00352619263291034,5.666850694689868,264.9166667,0.1922948580045886,1.3134234865201986,3.591957731655323,1.857634446243045,2.54148683850009
room1,empty,0.01019239202,172.4791667,0.0004894547553857926,0.003882848177029481,0.011095980814707588,0.005648223493180032,0.004857012891656473,3.9771569476331257,172.8333333,0.15670393421308143,0.7859199120554173,3.1719089639099147,1.5047034574708578,1.9783918436016967
room1,person,0.006708147115,299.9791667,0.0006809194058207988,0.0031504372309044807,0.010891836198785714,0.005365557973390602,0.004844180367921186,2.461329093818712,280.8541667,0.1687502855611919,0.6709247555812997,2.4877953481188393,1.2119620883231517,1.5572073241238074
room1,person,0.001988570101,202.2291667,0.00014945227653978657,0.00041311784706554245,0.0007835424440810714,0.00047934110734096667,0.0004560817672878106,5.045510145976839,296.4375,0.21172021623529855,1.6153358310856178,3.8929458098845156,2.081988621778119,2.329096363582386
room1,person,0.006269809017,172.125,0.0005825857071116158,0.0024732721242260143,0.007780170494948661,0.0039377265619512,0.0034086478640968448,3.2295344541326063,280.8541667,0.16421600783591347,0.8533045181100225,1.9651621311068657,1.0800471674872543,1.6033219363320066
room1,person,0.04529592061,288.6458333,0.005520014242497034,0.009228373332609197,0.033162111363753126,0.017150017379605604,0.026181939447973687,16.673989554762592,288.6458333,2.314358598821038,3.4740647328143295,12.671529879308926,6.5907987108808115,10.569873298857765
room1,person,0.009513467899,272.0,0.0007335221675857013,0.0029180573595570755,0.00884367635308125,0.0045331821646672574,0.00534781185547976,3.294202639326101,296.0833333,0.17330931703910918,0.8311597719693601,2.996522843265995,1.459749527572502,2.036627535947363
room1,person,0.001760621232,223.4791667,0.00017412034056856404,0.0003794134153685613,0.0007592691223542632,0.0004651127721978909,0.0006155149188956806,5.19520844231476,296.4375,0.22093271435946704,1.6314608569894946,3.9040460553149843,2.0943483053788032,2.333372291502857
room2,empty,0.002703132949,299.9791667,0.0002875831603033232,0.0015781573121915094,0.00438900352072991,0.0022747829618630752,0.0018600637901775166,5.002501533940415,278.375,0.32156441635080935,1.474329623999187,3.2799708547186057,1.8333465267105469,1.7424262767753231
room2,empty,0.03051185934,278.375,0.0014360013011064329,0.006043675354235613,0.02301767186028348,0.011121203141971509,0.011156420280499492,4.797972746621423,295.7291667,0.18334354997660596,1.0570439722832359,1.4917819079811756,0.9805346861799878,1.0310840174809983
room2,empty,0.0596302854,285.1041667,0.0028782630035259146,0.012527753495337735,0.01976258483904018,0.012591229795891416,0.013393052451418239,5.81493976465248,285.1041667,0.2265270096108895,0.7802430909474362,1.8875444204795992,1.042286525074121,1.2667575881922792
room2,empty,0.004473500654,200.4583333,0.0003525472848778354,0.0014147687215582546,0.003571735450515045,0.0019296957743428086,0.0022476987884889744,5.173685429312118,295.7291667,0.3115399643231076,1.4995417098912742,3.4060814521798943,1.8865960698903934,1.7519165390408808
room2,empty,0.1495834924,206.125,0.0065867249487246956,0.0332793137248408,0.08008864451931474,0.04345882295597266,0.05182496351949534,18.70362071907337,206.125,0.6840938973158859,3.483326169142818,8.643651621858048,4.644724183857143,6.249615205022286
room2,empty,0.04754268976,292.8958333,0.002687896110775915,0.011952219277107311,0.023040789678562497,0.013559703894853333,0.016325269484409065,4.1645793042569395,292.8958333,0.26165570360727436,0.8085775811215669,2.250080440345866,1.1972466687113987,1.557246912290738
room2,person,0.04829191119,186.6458333,0.003485835125552439,0.006459526365916982,0.006488657052883928,0.0056575928833516665,0.0049944151889782604,5.216848803192561,186.6458333,0.29993338018055915,1.1150105855559669,2.4856120276174165,1.403914021122963,1.4141037341758296
room2,person,0.5862973384,282.2708333,0.027246985719814636,0.1464924792803585,0.2982659400210491,0.17056080305033433,0.1739958272177087,72.77290429600993,282.2708333,3.1996308029920466,17.413291370440696,35.05620518360292,20.114911972251956,21.650831500040194
room2,person,0.6439623137,135.6458333,0.09750727852275305,0.21148262024198114,0.5001372966421875,0.2880937726948025,0.2008936998890112,82.26890349800483,135.6458333,12.233470239052965,25.762920417447898,61.014759789314496,35.22555740085014,24.665179015210928
room2,person,0.1897633646,237.2916667,0.013136085953222257,0.03150810546914151,0.04513402098013392,0.03157342859222742,0.024111592719099285,23.873412820934544,237.2916667,1.435128442974052,2.8028083530396097,2.612896790400112,2.358075527569612,2.754699095417689
room2,person,0.3315987875,210.0208333,0.020375680415994513,0.10611036729138208,0.26350754121013614,0.1414378311417777,0.17628766917338065,41.539114240785615,210.0208333,2.3274000138732305,12.219472373277537,30.7530840415343,16.434854284522885,21.597847704959932
room2,person,0.08095930305,284.3958333,0.0021499888037908536,0.018503822349776416,0.07352867946568302,0.03457638783714549,0.06018711694941302,8.574333074078192,264.9166667,0.197300289522777,1.6823922110068683,7.127265749595703,3.309219873541049,6.812636979951254
room3,empty,0.0006095399406,299.9791667,6.510101448621951e-05,0.0003558648177283019,0.0009896934392185266,0.0005130187301984835,0.0004193511196488299,4.309601126268358,258.8958333,0.643194549110016,1.5137129722346296,6.482966946978297,3.130959420484871,4.221950393199582
room3,empty,0.02040164604,284.75,0.0004329691193148171,0.004220700102158254,0.00871602172475692,0.004863640372617883,0.006792220314953352,9.979239340900188,284.75,0.44413607947180844,1.488535388513008,6.1529260072743455,2.9444387417126463,4.350590321629612
room3,empty,0.00224373284,225.9583333,0.0002425694338152744,0.0006075212548703539,0.001714358007186607,0.0009209868113133666,0.0011548758224776978,3.749630956381582,259.9583333,0.5264401959120528,1.348151208301041,6.027786407493262,2.87061400594648,4.0676326949276636
room3,empty,0.005243333027,299.9791667,0.0007879794368654269,0.0030611902973254716,0.008513457365075892,0.004475359034093217,0.0035623517890590144,2.0389177963934935,258.8958333,0.3096459145385302,0.5699900755419783,3.013569041362371,1.4110988187739824,2.7337717816312694
