"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
8.518189885E1;NaN;1.079153391E-3;1.894068548E-8;3.017580694E-3;1.040106798E-8;1.657071069E-3;NaN;9.283002212E-3;1.168592146E-7;1.861770580E-2;1.716471216E-7;2.734637249E-2
8.510638298E1;NaN;1.081069331E-3;2.352837521E-8;3.755134566E-3;1.003730855E-8;1.601956954E-3;NaN;9.299483349E-3;9.140902057E-8;1.458890253E-2;1.904719018E-7;3.039936315E-2
8.503100089E1;NaN;1.082986970E-3;2.765400063E-8;4.421414389E-3;9.745955716E-9;1.558216094E-3;NaN;9.315979104E-3;6.842602645E-8;1.094018265E-2;2.037109757E-7;3.256999417E-2
8.495575221E1;NaN;1.084906309E-3;3.080537164E-8;4.933995028E-3;9.506952101E-9;1.522697241E-3;NaN;9.332489476E-3;5.045391512E-8;8.081037595E-3;2.066188353E-7;3.309345909E-2
8.488063660E1;NaN;1.086827347E-3;3.271404803E-8;5.248979357E-3;9.224281123E-9;1.480038825E-3;NaN;9.349014465E-3;3.828285792E-8;6.142496666E-3;1.968284313E-7;3.158118408E-2
8.480565371E1;NaN;1.088750084E-3;3.337522418E-8;5.364539078E-3;8.780997118E-9;1.411406315E-3;NaN;9.365554071E-3;3.135849766E-8;5.040382206E-3;1.757413726E-7;2.824764430E-2
8.473080318E1;NaN;1.090674520E-3;3.294704877E-8;5.305077179E-3;8.131447175E-9;1.309311652E-3;NaN;9.382108295E-3;2.854440665E-8;4.596171310E-3;1.479979421E-7;2.383037433E-2
8.465608466E1;NaN;1.092600656E-3;3.160718483E-8;5.098322376E-3;7.346985141E-9;1.185088104E-3;NaN;9.398677137E-3;2.863982405E-8;4.619679247E-3;1.194301506E-7;1.926439867E-2
8.458149780E1;NaN;1.094528491E-3;2.946879893E-8;4.761782193E-3;6.569352686E-9;1.061523638E-3;NaN;9.415260596E-3;3.041807760E-8;4.915173522E-3;9.479309861E-8;1.531735616E-2
8.450704225E1;NaN;1.096458025E-3;2.660433396E-8;4.306499703E-3;5.930875073E-9;9.600432688E-4;NaN;9.431858672E-3;3.261239966E-8;5.279037981E-3;7.645050559E-8;1.237520474E-2
8.443271768E1;NaN;1.098389258E-3;2.314181490E-8;3.752612432E-3;5.510874542E-9;8.936281101E-4;NaN;9.448471366E-3;3.417365046E-8;5.541504246E-3;6.436283498E-8;1.043689856E-2
8.435852373E1;NaN;1.100322191E-3;1.933846820E-8;3.141390765E-3;5.318055595E-9;8.638786984E-4;NaN;9.465098677E-3;3.452428058E-8;5.608213385E-3;5.692439870E-8;9.246946478E-3
8.428446005E1;NaN;1.102256823E-3;1.556189109E-8;2.532358500E-3;5.286417626E-9;8.602492160E-4;NaN;9.481740605E-3;3.350032590E-8;5.451447679E-3;5.199447898E-8;8.460967888E-3
8.421052632E1;NaN;1.104193155E-3;1.218430649E-8;1.986213300E-3;5.319486138E-9;8.671510457E-4;NaN;9.498397151E-3;3.116672659E-8;5.080614716E-3;4.770219147E-8;7.776128022E-3
8.413672217E1;NaN;1.106131185E-3;9.466097892E-9;1.545815466E-3;5.382814964E-9;8.790146391E-4;NaN;9.515068315E-3;2.777191658E-8;4.535158908E-3;4.290248528E-8;7.005983462E-3
8.406304729E1;NaN;1.108070915E-3;7.502307965E-9;1.227276628E-3;5.566240068E-9;9.105619725E-4;NaN;9.531754095E-3;2.378491223E-8;3.890891577E-3;3.734740011E-8;6.109532089E-3
8.398950131E1;NaN;1.110012344E-3;6.247978733E-9;1.023876020E-3;6.087852527E-9;9.976356322E-4;NaN;9.548454494E-3;1.984292588E-8;3.251722971E-3;3.168224122E-8;5.191868989E-3
8.391608392E1;NaN;1.111955473E-3;5.588679456E-9;9.174377748E-4;7.286820847E-9;1.196204713E-3;NaN;9.565169509E-3;1.663134334E-8;2.730201785E-3;2.721883952E-8;4.468245452E-3
8.384279476E1;NaN;1.113900300E-3;5.399498369E-9;8.879320980E-4;9.633287059E-9;1.584166566E-3;NaN;9.581899142E-3;1.473698113E-8;2.423454492E-3;2.542065265E-8;4.180353784E-3
8.376963351E1;NaN;1.115846827E-3;5.561170861E-9;9.161167881E-4;1.365190260E-8;2.248939562E-3;NaN;9.598643393E-3;1.448194227E-8;2.385675746E-3;2.721429656E-8;4.483133962E-3
8.369659983E1;NaN;1.117795054E-3;5.940778697E-9;9.803599892E-4;1.967364406E-8;3.246586762E-3;NaN;9.615402261E-3;1.588541956E-8;2.621445864E-3;3.250674562E-8;5.364332593E-3
8.362369338E1;NaN;1.119744979E-3;6.378239649E-9;1.054386841E-3;2.751233643E-8;4.548064527E-3;NaN;9.632175746E-3;1.892749601E-8;3.128904497E-3;4.023702411E-8;6.651582734E-3
8.355091384E1;NaN;1.121696604E-3;6.710980171E-9;1.111325760E-3;3.626307185E-8;6.005096847E-3;NaN;9.648963848E-3;2.384849811E-8;3.949266665E-3;4.894888583E-8;8.105843905E-3
8.347826087E1;NaN;1.123649928E-3;6.822812351E-9;1.131812473E-3;4.438130138E-8;7.362258828E-3;NaN;9.665766569E-3;3.107970319E-8;5.155703237E-3;5.753029535E-8;9.543499439E-3
8.340573414E1;NaN;1.125604952E-3;6.675600492E-9;1.109318749E-3;5.008700884E-8;8.323214977E-3;NaN;9.682583906E-3;4.093516115E-8;6.802405538E-3;6.566753861E-8;1.091231147E-2
8.333333333E1;NaN;1.127561674E-3;6.302511166E-9;1.049141219E-3;5.200609802E-8;8.657143101E-3;NaN;9.699415861E-3;5.359034203E-8;8.920862695E-3;7.373311887E-8;1.227390990E-2
8.326105811E1;NaN;1.129520096E-3;5.775407424E-9;9.630672385E-4;4.975880516E-8;8.297436279E-3;NaN;9.716262433E-3;6.928198616E-8;1.155298773E-2;8.213508262E-8;1.369628173E-2
8.318890815E1;NaN;1.131480218E-3;5.163849087E-9;8.625822701E-4;4.414316883E-8;7.373785355E-3;NaN;9.733123623E-3;8.820811258E-8;1.473450380E-2;9.049853879E-8;1.511710232E-2
8.311688312E1;NaN;1.133442038E-3;4.511110296E-9;7.548536895E-4;3.677179762E-8;6.153103179E-3;NaN;9.749999430E-3;1.100259344E-7;1.841087383E-2;9.727215992E-8;1.627675760E-2
8.304498270E1;NaN;1.135405558E-3;3.841910487E-9;6.439887462E-4;2.938625076E-8;4.925782329E-3;NaN;9.766889855E-3;1.333159919E-7;2.234669412E-2;1.001827280E-7;1.679282992E-2
8.297320657E1;NaN;1.137370777E-3;3.189666321E-9;5.355836847E-4;2.323780928E-8;3.901910189E-3;NaN;9.783794897E-3;1.552077560E-7;2.606126581E-2;9.739700290E-8;1.635413878E-2
8.290155440E1;NaN;1.139337696E-3;2.604493329E-9;4.380823299E-4;1.880341892E-8;3.162782364E-3;NaN;9.800714556E-3;1.714289236E-7;2.883477620E-2;8.868150585E-8;1.491645237E-2
8.283002588E1;NaN;1.141306313E-3;2.136574822E-9;3.599982140E-4;1.588734097E-8;2.676908065E-3;NaN;9.817648833E-3;1.774898116E-7;2.990581679E-2;7.578711884E-8;1.276961010E-2
8.275862069E1;NaN;1.143276630E-3;1.821743972E-9;3.074812851E-4;1.397998747E-8;2.359598593E-3;NaN;9.834597728E-3;1.710341577E-7;2.886783403E-2;6.182133510E-8;1.043445394E-2
8.268733850E1;NaN;1.145248647E-3;1.683756301E-9;2.846813662E-4;1.263624977E-8;2.136475953E-3;NaN;9.851561239E-3;1.538107285E-7;2.600557355E-2;5.010343591E-8;8.471246450E-3
