"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1767034276.382;"2025-12-29 19:51:16.382 UTC+01:00"
"PAUSE";6.000691250E2;1767034876.451;"2025-12-29 20:01:16.451 UTC+01:00"
"START";6.000691250E2;1767037686.589;"2025-12-29 20:48:06.589 UTC+01:00"
"PAUSE";1.200146142E3;1767038286.666;"2025-12-29 20:58:06.666 UTC+01:00"
