"Distance (cm)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
2.645625000E2;2.539890063E-8;1.777753288E-3;2.203364608E-6;1.542207962E-1;NaN;2.395880222E-1;NaN;2.162120460E-2;1.051618205E-6;7.360624573E-2;9.757678511E-7;6.829722794E-2
2.649166667E2;1.935667708E-8;1.358467863E-3;1.955299541E-6;1.372245648E-1;NaN;2.402299188E-1;NaN;2.167913144E-2;1.103354735E-6;7.743436240E-2;9.972175788E-7;6.998556762E-2
2.652708333E2;1.526002499E-8;1.073826823E-3;1.818570142E-6;1.279702622E-1;NaN;2.408726741E-1;NaN;2.173713578E-2;1.105018505E-6;7.775862177E-2;9.611075952E-7;6.763181036E-2
2.656250000E2;1.243576030E-8;8.774254705E-4;1.731439862E-6;1.221645801E-1;NaN;2.415162882E-1;NaN;2.179521762E-2;1.049561567E-6;7.405353832E-2;8.730307523E-7;6.159811704E-2
2.659791667E2;1.064148388E-8;7.528308952E-4;1.635491676E-6;1.157027231E-1;NaN;2.421607610E-1;NaN;2.185337694E-2;9.487171338E-7;6.711691498E-2;7.492698008E-7;5.300702994E-2
2.663333333E2;9.944970199E-9;7.054309911E-4;1.502135081E-6;1.065516153E-1;NaN;2.428060925E-1;NaN;2.191161377E-2;8.309656077E-7;5.894325277E-2;6.130787063E-7;4.348778436E-2
2.666875000E2;1.045685090E-8;7.437144780E-4;1.337187516E-6;9.510374824E-2;NaN;2.434522828E-1;NaN;2.196992808E-2;7.315125568E-7;5.202679894E-2;4.894005632E-7;3.480725582E-2
2.670416667E2;1.209333732E-8;8.623910221E-4;1.164657928E-6;8.305321471E-2;NaN;2.440993317E-1;NaN;2.202831989E-2;6.802903597E-7;4.851235709E-2;3.994985724E-7;2.848874326E-2
2.673958333E2;1.444798420E-8;1.033038552E-3;1.008342611E-6;7.209703282E-2;NaN;2.447472394E-1;NaN;2.208678920E-2;6.961041472E-7;4.977181663E-2;3.567003586E-7;2.550426529E-2
2.677500000E2;1.684416500E-8;1.207559242E-3;8.850814056E-7;6.345154129E-2;NaN;2.453960059E-1;NaN;2.214533599E-2;7.905689952E-7;5.667594067E-2;3.638819016E-7;2.608671627E-2
