"Distance (cm)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
4.108333333E1;1.371858518E-8;2.315478063E-5;5.152908370E-8;8.697286295E-5;2.269867529E-7;3.831173841E-4;9.306408660E-9;1.570773138E-5;8.492368282E-8;1.433376124E-4;4.515880290E-8;7.622084644E-5
4.143750000E1;1.092263816E-8;1.875489505E-5;6.580207862E-8;1.129865387E-4;2.163649775E-7;3.715130344E-4;8.376013684E-9;1.438217171E-5;1.257010699E-7;2.158370843E-4;6.549754046E-8;1.124636264E-4
4.179166667E1;8.679154834E-9;1.515852062E-5;8.604439836E-8;1.502802763E-4;2.059325548E-7;3.596701450E-4;8.084348755E-9;1.411966598E-5;1.777016314E-7;3.103636119E-4;9.078822700E-8;1.585655789E-4
4.214583333E1;7.034843105E-9;1.249578968E-5;1.091353736E-7;1.938540284E-4;1.928916669E-7;3.426279257E-4;8.113638495E-9;1.441202293E-5;2.347769086E-7;4.170274769E-4;1.170817725E-7;2.079689884E-4
4.250000000E1;6.102695782E-9;1.102299426E-5;1.303869808E-7;2.355114840E-4;1.765504134E-7;3.188941842E-4;8.211419151E-9;1.483187584E-5;2.879494090E-7;5.201086200E-4;1.392533776E-7;2.515264133E-4
4.285416667E1;5.917034268E-9;1.086651273E-5;1.453031017E-7;2.668461822E-4;1.593031402E-7;2.925569673E-4;8.176117457E-9;1.501527292E-5;3.271311291E-7;6.007696454E-4;1.528361962E-7;2.806805565E-4
4.320833333E1;6.345145788E-9;1.184613382E-5;1.515082728E-7;2.828598955E-4;1.461129501E-7;2.727870434E-4;7.878800222E-9;1.470940541E-5;3.439500595E-7;6.421410269E-4;1.559910151E-7;2.912289963E-4
4.356250000E1;7.091451270E-9;1.345738613E-5;1.496888381E-7;2.840632218E-4;1.421324694E-7;2.697235657E-4;7.310107747E-9;1.387232865E-5;3.345647558E-7;6.349006620E-4;1.504468587E-7;2.855017109E-4
4.391666667E1;7.779501543E-9;1.500411933E-5;1.429270965E-7;2.756597193E-4;1.505175726E-7;2.902992702E-4;6.622193521E-9;1.277204989E-5;3.011148055E-7;5.807521794E-4;1.407400508E-7;2.714416220E-4
4.427083333E1;8.081463230E-9;1.583891380E-5;1.348234923E-7;2.642414636E-4;1.719622327E-7;3.370299292E-4;6.128629645E-9;1.201154221E-5;2.510097593E-7;4.919557049E-4;1.320877896E-7;2.588797417E-4
4.462500000E1;7.833126571E-9;1.559881482E-5;1.275979208E-7;2.540973033E-4;2.052846964E-7;4.088020198E-4;6.245480060E-9;1.243719044E-5;1.943208660E-7;3.869687508E-4;1.280275813E-7;2.549529251E-4
4.497916667E1;7.077790332E-9;1.431925764E-5;1.212819257E-7;2.453685485E-4;2.481734053E-7;5.020859283E-4;7.397640361E-9;1.496635437E-5;1.404896943E-7;2.842282737E-4;1.290328228E-7;2.610495857E-4
4.533333333E1;6.032799517E-9;1.239807332E-5;1.142898402E-7;2.348783204E-4;2.971620708E-7;6.107010735E-4;9.927357255E-9;2.040182220E-5;9.581037951E-8;1.969009755E-4;1.326712452E-7;2.726541502E-4
4.568750000E1;5.005451968E-9;1.044811843E-5;1.048028698E-7;2.187600246E-4;3.465131904E-7;7.232934958E-4;1.403345172E-8;2.929269256E-5;6.259067740E-8;1.306485038E-4;1.350391114E-7;2.818735726E-4
4.604166667E1;4.282529353E-9;9.078255909E-6;9.203806538E-8;1.951055187E-4;3.873769992E-7;8.211753480E-4;1.974085392E-8;4.184735445E-5;3.993675770E-8;8.465933954E-5;1.326332418E-7;2.811605973E-4
4.639583333E1;4.033519950E-9;8.682447554E-6;7.671662700E-8;1.651381668E-4;4.091732890E-7;8.807755178E-4;2.691677708E-8;5.794033704E-5;2.535042265E-8;5.456864423E-5;1.237399309E-7;2.663592777E-4
4.675000000E1;4.277231646E-9;9.348157089E-6;6.059787690E-8;1.324404473E-4;4.037482513E-7;8.824170374E-4;3.533636600E-8;7.722983642E-5;1.619225082E-8;3.538917618E-5;1.088265451E-7;2.378472159E-4
4.710416667E1;4.920531052E-9;1.091768669E-5;4.556343454E-8;1.010962633E-4;3.700398304E-7;8.210453072E-4;4.477706536E-8;9.935146533E-5;1.049112764E-8;2.327774042E-5;9.003645730E-8;1.997731181E-4
4.745833333E1;5.830481227E-9;1.313195440E-5;3.294832885E-8;7.420930370E-5;3.154629069E-7;7.105150240E-4;5.510061400E-8;1.241027494E-4;7.091909108E-9;1.597306010E-5;7.028266912E-8;1.582971920E-4
4.781250000E1;6.884885891E-9;1.573909119E-5;2.339088536E-8;5.347238626E-5;2.528753948E-7;5.780820427E-4;6.626501397E-8;1.514841516E-4;5.436958029E-9;1.242907720E-5;5.238205328E-8;1.197472154E-4
4.816666667E1;7.984703157E-9;1.852473312E-5;1.697297200E-8;3.937776650E-5;1.955887206E-7;4.537712648E-4;7.824156856E-8;1.815226124E-4;5.267436245E-9;1.222059841E-5;3.839628911E-8;8.908045730E-5
4.852083333E1;9.030151684E-9;2.125942665E-5;1.336736957E-8;3.147041409E-5;1.532766150E-7;3.608547307E-4;9.085150927E-8;2.138890979E-4;6.441349349E-9;1.516468370E-5;2.924041067E-8;6.883985869E-5
4.887500000E1;9.885915251E-9;2.361513452E-5;1.193934074E-8;2.852028675E-5;1.298516453E-7;3.101851466E-4;1.036065541E-7;2.474917749E-4;8.911021336E-9;2.128634145E-5;2.462773265E-8;5.882988119E-5
4.922916667E1;1.037688308E-8;2.514848874E-5;1.186928548E-8;2.876534214E-5;1.235715405E-7;2.994769694E-4;1.156471250E-7;2.802720623E-4;1.276897657E-8;3.094575328E-5;2.335354007E-8;5.659755777E-5
4.958333333E1;1.035023419E-8;2.544612263E-5;1.231485939E-8;3.027616732E-5;1.292850990E-7;3.178483138E-4;1.258345232E-7;3.093650491E-4;1.820826423E-8;4.476514407E-5;2.379409032E-8;5.849793629E-5
4.993750000E1;9.780104006E-9;2.438917257E-5;1.258226799E-8;3.137707994E-5;1.410627277E-7;3.517757282E-4;1.329753692E-7;3.316078463E-4;2.531732286E-8;6.313517278E-5;2.444603477E-8;6.096239469E-5
5.029166667E1;8.843279394E-9;2.236687976E-5;1.226778001E-8;3.102830389E-5;1.533003268E-7;3.877351177E-4;1.361078575E-7;3.442510350E-4;3.377369809E-8;8.542218452E-5;2.436514940E-8;6.162559643E-5
5.064583333E1;7.897953842E-9;2.025825503E-5;1.131493965E-8;2.902282511E-5;1.610627723E-7;4.131260808E-4;1.347396011E-7;3.456071352E-4;4.262703546E-8;1.093383645E-4;2.341802218E-8;6.006723706E-5
5.100000000E1;7.359490648E-9;1.914203517E-5;9.972625247E-9;2.593879827E-5;1.612454423E-7;4.193993954E-4;1.289583344E-7;3.354206277E-4;5.037006812E-8;1.310125472E-4;2.226121231E-8;5.790141322E-5
5.135416667E1;7.529210512E-9;1.985641369E-5;8.654539510E-9;2.282418808E-5;1.538529437E-7;4.057487425E-4;1.193937433E-7;3.148712013E-4;5.540932069E-8;1.461282550E-4;2.201348468E-8;5.805507203E-5
5.170833333E1;8.457638390E-9;2.261362533E-5;7.758580362E-9;2.074451771E-5;1.417380069E-7;3.789722419E-4;1.070537168E-7;2.862350610E-4;5.681849431E-8;1.519185478E-4;2.370431724E-8;6.337945936E-5
5.206250000E1;9.906486459E-9;2.685157025E-5;7.519888593E-9;2.038268740E-5;1.289199407E-7;3.494380029E-4;9.310373284E-8;2.523580316E-4;5.504113021E-8;1.491891984E-4;2.772407109E-8;7.514620300E-5
5.241666667E1;1.143552787E-8;3.141919225E-5;7.961764413E-9;2.187500301E-5;1.187501027E-7;3.262667318E-4;7.865852460E-8;2.161148426E-4;5.211599841E-8;1.431890675E-4;3.354064082E-8;9.215314357E-5
5.277083333E1;1.258602480E-8;3.504906913E-5;8.957787942E-9;2.494529717E-5;1.128135987E-7;3.141588931E-4;6.465716662E-8;1.800547463E-4;5.117455286E-8;1.425088914E-4;3.984338721E-8;1.109543049E-4
5.312500000E1;1.306761798E-8;3.688028902E-5;1.034491547E-8;2.919609932E-5;1.109604853E-7;3.131599633E-4;5.184461641E-8;1.463192787E-4;5.532076046E-8;1.561298806E-4;4.506412362E-8;1.271829270E-4
5.347916667E1;1.285892455E-8;3.677679768E-5;1.200345526E-8;3.433013731E-5;1.120435715E-7;3.204469974E-4;4.082806965E-8;1.167691475E-4;6.629798522E-8;1.896136477E-4;4.801951387E-8;1.373368309E-4
5.383333333E1;1.219056756E-8;3.532860341E-5;1.384624053E-8;4.012678968E-5;1.146858552E-7;3.323627941E-4;3.215660131E-8;9.319072384E-5;8.348132140E-8;2.419311883E-4;4.833294866E-8;1.400702278E-4
5.418750000E1;1.143966148E-8;3.359010818E-5;1.575090203E-8;4.624913983E-5;1.180352828E-7;3.465852489E-4;2.635229528E-8;7.737785347E-5;1.036826030E-7;3.044416881E-4;4.642666497E-8;1.363219272E-4
5.454166667E1;1.098914198E-8;3.269042708E-5;1.751613883E-8;5.210689423E-5;1.222379474E-7;3.636326396E-4;2.387697598E-8;7.102907063E-5;1.219854898E-7;3.628816302E-4;4.314234800E-8;1.283395722E-4
5.489583333E1;1.109809258E-8;3.344468485E-5;1.889171436E-8;5.693117335E-5;1.281643820E-7;3.862300960E-4;2.505831353E-8;7.551454382E-5;1.333738000E-7;4.019289507E-4;3.926103842E-8;1.183152012E-4
5.525000000E1;1.182298932E-8;3.609041385E-5;1.965704429E-8;6.000435626E-5;1.369399150E-7;4.180176493E-4;3.002919427E-8;9.166599233E-5;1.345244516E-7;4.106442962E-4;3.522087053E-8;1.075139086E-4
5.560416667E1;1.301350606E-8;4.023546192E-5;1.971307441E-8;6.094934379E-5;1.496380596E-7;4.626544467E-4;3.871545046E-8;1.197013338E-4;1.250160920E-7;3.865276723E-4;3.119246121E-8;9.644157995E-5
5.595833333E1;1.437662969E-8;4.501804472E-5;1.917074048E-8;6.003001197E-5;1.662434027E-7;5.205637968E-4;5.085189380E-8;1.592343184E-4;1.074625453E-7;3.365012367E-4;2.741023698E-8;8.583063632E-5
5.631250000E1;1.558274400E-8;4.941440296E-5;1.839070356E-8;5.831871695E-5;1.841351432E-7;5.839105209E-4;6.596978006E-8;2.091966149E-4;8.655167194E-8;2.744638040E-4;2.445752456E-8;7.755719882E-5
5.666666667E1;1.637787519E-8;5.259117699E-5;1.791255617E-8;5.751920816E-5;1.982213473E-7;6.365107708E-4;8.333949747E-8;2.676123863E-4;6.751356402E-8;2.167935556E-4;2.322803746E-8;7.458780919E-5
5.702083333E1;1.669728163E-8;5.428913131E-5;1.831384310E-8;5.954517956E-5;2.030464986E-7;6.601803975E-4;1.019022656E-7;3.313225232E-4;5.483216489E-8;1.782799539E-4;2.459876167E-8;7.997980941E-5
5.737500000E1;1.676352186E-8;5.518368045E-5;2.014674767E-8;6.632088977E-5;1.951065060E-7;6.422692779E-4;1.202910975E-7;3.959851362E-4;5.183167696E-8;1.706242115E-4;2.913989009E-8;9.592533100E-5
5.772916667E1;1.708668111E-8;5.694404201E-5;2.403054115E-8;8.008554359E-5;1.745557536E-7;5.817343989E-4;1.370167983E-7;4.566299485E-4;6.106004008E-8;2.034921507E-4;3.715174921E-8;1.238140253E-4
5.808333333E1;1.832609783E-8;6.182627266E-5;3.077328631E-8;1.038190240E-4;1.458375099E-7;4.920081587E-4;1.507966240E-7;5.087385911E-4;8.472453915E-8;2.858329420E-4;4.895433363E-8;1.651559435E-4
5.843750000E1;2.101530784E-8;7.176604492E-5;4.125216790E-8;1.408737363E-4;1.161688348E-7;3.967097640E-4;1.609111451E-7;5.495021323E-4;1.242734106E-7;4.243864156E-4;6.504249678E-8;2.221163154E-4
5.879166667E1;2.526812152E-8;8.733825308E-5;5.595749295E-8;1.934148400E-4;9.244901135E-8;3.195463162E-4;1.673927624E-7;5.785863993E-4;1.788673624E-7;6.182478960E-4;8.575429179E-8;2.964062854E-4
5.914583333E1;3.061334988E-8;1.070925267E-4;7.440414560E-8;2.602827845E-4;7.872230584E-8;2.753887005E-4;1.709394591E-7;5.979854759E-4;2.435301935E-7;8.519245315E-4;1.105615822E-7;3.867697994E-4
5.950000000E1;3.607326252E-8;1.277083677E-4;9.485873746E-8;3.358236453E-4;7.541637783E-8;2.669928316E-4;1.725659088E-7;6.109264586E-4;3.084973445E-7;1.092157724E-3;1.376278997E-7;4.872371719E-4
5.985416667E1;4.050380994E-8;1.451057605E-4;1.148201475E-7;4.113456202E-4;8.010656993E-8;2.869834904E-4;1.731485089E-7;6.203082154E-4;3.609712635E-7;1.293187228E-3;1.643543642E-7;5.888030053E-4
6.020833333E1;4.306657286E-8;1.561181958E-4;1.322292970E-7;4.793369407E-4;8.917660768E-8;3.232690733E-4;1.730698080E-7;6.273855656E-4;3.891493790E-7;1.410683389E-3;1.889267703E-7;6.848677425E-4
6.056250000E1;4.361616493E-8;1.599760853E-4;1.467097908E-7;5.381045777E-4;9.959345486E-8;3.652905077E-4;1.721027117E-7;6.312411496E-4;3.867636549E-7;1.418578079E-3;2.118202385E-7;7.769177460E-4
6.091666667E1;4.278626229E-8;1.587729854E-4;1.598404962E-7;5.931425512E-4;1.099108598E-7;4.078616455E-4;1.695477167E-7;6.291644961E-4;3.557199522E-7;1.320019926E-3;2.358117395E-7;8.750597010E-4
6.127083333E1;4.171044138E-8;1.565857944E-4;1.739660998E-7;6.530887478E-4;1.201546066E-7;4.510742131E-4;1.645356221E-7;6.176856497E-4;3.053394472E-7;1.146279404E-3;2.639231190E-7;9.907977446E-4
6.162500000E1;4.152159611E-8;1.576841002E-4;1.901608853E-7;7.221627031E-4;1.308699979E-7;4.969972206E-4;1.563565915E-7;5.937861439E-4;2.486526888E-7;9.442935526E-4;2.964201844E-7;1.125697334E-3
6.197916667E1;4.287818036E-8;1.647129753E-4;2.068093295E-7;7.944408950E-4;1.419487109E-7;5.452842053E-4;1.447041726E-7;5.558690832E-4;1.978601943E-7;7.600635339E-4;3.290754950E-7;1.264116234E-3
6.233333333E1;4.572986835E-8;1.776808629E-4;2.200230313E-7;8.548872646E-4;1.519364927E-7;5.903408013E-4;1.297863642E-7;5.042777077E-4;1.612329334E-7;6.264616054E-4;3.544047492E-7;1.377019964E-3
6.268750000E1;4.941173712E-8;1.941744229E-4;2.258594859E-7;8.875651390E-4;1.582620867E-7;6.219261078E-4;1.123122527E-7;4.413560039E-4;1.424426191E-7;5.597599874E-4;3.655493390E-7;1.436507519E-3
6.304166667E1;5.299312798E-8;2.106080309E-4;2.229590309E-7;8.860953155E-4;1.581937314E-7;6.287017115E-4;9.338156993E-8;3.711218664E-4;1.415433156E-7;5.625287676E-4;3.604266974E-7;1.432426428E-3
6.339583333E1;5.570035875E-8;2.238615066E-4;2.137339057E-7;8.590033390E-4;1.499745188E-7;6.027523427E-4;7.430090995E-8;2.986177112E-4;1.560472361E-7;6.271587860E-4;3.432220774E-7;1.379420404E-3
6.375000000E1;5.720736204E-8;2.324942948E-4;2.031293001E-7;8.255301713E-4;1.337243722E-7;5.434642065E-4;5.636166869E-8;2.290573442E-4;1.812225864E-7;7.364999176E-4;3.219654677E-7;1.308487784E-3
6.410416667E1;5.767699407E-8;2.370146201E-4;1.956276883E-7;8.039015030E-4;1.116562138E-7;4.588338127E-4;4.062159440E-8;1.669281127E-4;2.101023168E-7;8.633827338E-4;3.037145246E-7;1.248067515E-3
6.445833333E1;5.759968810E-8;2.393196041E-4;1.924880599E-7;7.997641619E-4;8.730749714E-8;3.627518888E-4;2.774234421E-8;1.152660206E-4;2.343691171E-7;9.737747923E-4;2.906031803E-7;1.207420393E-3
6.481250000E1;5.752010211E-8;2.416224011E-4;1.910843849E-7;8.026805622E-4;6.428040381E-8;2.700201311E-4;1.793137922E-8;7.532363024E-5;2.465928652E-7;1.035852824E-3;2.793233874E-7;1.173342624E-3
6.516666667E1;5.778493061E-8;2.453949438E-4;1.867151028E-7;7.929219897E-4;4.533127199E-8;1.925080609E-4;1.099261609E-8;4.668228168E-5;2.429502923E-7;1.031735656E-3;2.640893569E-7;1.121506805E-3
6.552083333E1;5.840412594E-8;2.507277213E-4;1.755541097E-7;7.536502116E-4;3.195652909E-8;1.371887275E-4;6.464280399E-9;2.775102388E-5;2.247320478E-7;9.647700970E-4;2.407920356E-7;1.033715297E-3
6.587500000E1;5.907307015E-8;2.563485109E-4;1.568226891E-7;6.805345098E-4;2.426753351E-8;1.053093408E-4;3.779871380E-9;1.640281092E-5;1.975320940E-7;8.571936085E-4;2.095374117E-7;9.092908721E-4
6.622916667E1;5.933877773E-8;2.602778301E-4;1.329903756E-7;5.833360193E-4;2.122658144E-8;9.310620759E-5;2.414309743E-9;1.058989290E-5;1.684699852E-7;7.389603202E-4;1.742285393E-7;7.642190807E-4
6.658333333E1;5.883953591E-8;2.608556845E-4;1.081840635E-7;4.796167663E-4;2.119042086E-8;9.394434630E-5;1.976269489E-9;8.761475127E-6;1.430891466E-7;6.343628768E-4;1.399909773E-7;6.206276381E-4
6.693750000E1;5.752618508E-8;2.577534878E-4;8.604177567E-8;3.855212672E-4;2.243843051E-8;1.005382804E-4;2.237757586E-9;1.002656133E-5;1.236816535E-7;5.541715917E-4;1.104796274E-7;4.950182122E-4
6.729166667E1;5.576870768E-8;2.525301000E-4;6.834118433E-8;3.094603915E-4;2.356679015E-8;1.067143945E-4;3.114086733E-9;1.410110915E-5;1.097089264E-7;4.967804939E-4;8.673094395E-8;3.927323200E-4
6.764583333E1;5.430770743E-8;2.485098299E-4;5.497009957E-8;2.515409091E-4;2.373374973E-8;1.086046602E-4;4.626009875E-9;2.116843045E-5;9.959388836E-8;4.557375266E-4;6.780218325E-8;3.102599949E-4
6.800000000E1;5.403951294E-8;2.498787078E-4;4.485477370E-8;2.074084736E-4;2.270158797E-8;1.049721428E-4;6.856033869E-9;3.170230061E-5;9.248608526E-8;4.276556583E-4;5.223926255E-8;2.415543500E-4
6.835416667E1;5.569668968E-8;2.602312032E-4;3.699471768E-8;1.728501272E-4;2.082366787E-8;9.729425891E-5;9.932738848E-9;4.640865726E-5;8.896015948E-8;4.156478504E-4;3.918079353E-8;1.830641121E-4
6.870833333E1;5.955824817E-8;2.811646666E-4;3.095998010E-8;1.461569598E-4;1.889845216E-8;8.921647574E-5;1.405721788E-8;6.636180715E-5;9.048358044E-8;4.271580598E-4;2.858123461E-8;1.349272947E-4
6.906250000E1;6.531981856E-8;3.115512948E-4;2.676076202E-8;1.276389041E-4;1.781758359E-8;8.498326172E-5;1.955890811E-8;9.328873352E-5;9.827637493E-8;4.687418386E-4;2.077147765E-8;9.907224025E-5
6.941666667E1;7.219179124E-8;3.478686794E-4;2.442182417E-8;1.176807997E-4;1.823294531E-8;8.785861240E-5;2.693945321E-8;1.298124323E-4;1.122763982E-7;5.410233171E-4;1.592728246E-8;7.674837570E-5
6.977083333E1;7.919307487E-8;3.855094481E-4;2.365932365E-8;1.151728584E-4;2.041069048E-8;9.935861230E-5;3.684392492E-8;1.793550911E-4;1.306983770E-7;6.362356719E-4;1.379769461E-8;6.716675216E-5
7.012500000E1;8.550002784E-8;4.204477229E-4;2.388178017E-8;1.174390272E-4;2.411442500E-8;1.185830617E-4;4.993651168E-8;2.455635764E-4;1.502361263E-7;7.387884983E-4;1.374652424E-8;6.759874776E-5
7.047916667E1;9.066295971E-8;4.503512924E-4;2.445942736E-8;1.214976299E-4;2.854601021E-8;1.417969657E-4;6.672199335E-8;3.314290205E-4;1.667535899E-7;8.283172641E-4;1.494303591E-8;7.422673557E-5
7.083333333E1;9.461830083E-8;4.747341830E-4;2.505489111E-8;1.257094363E-4;3.254023126E-8;1.632660909E-4;8.739165893E-8;4.384755110E-4;1.762536723E-7;8.843283212E-4;1.655549792E-8;8.306491144E-5
7.118750000E1;9.752107455E-8;4.942036639E-4;2.578671993E-8;1.306783332E-4;3.492345236E-8;1.769801880E-4;1.117942921E-7;5.665354798E-4;1.759309539E-7;8.915582855E-4;1.792245184E-8;9.082489510E-5
7.154166667E1;9.953567032E-8;5.094444701E-4;2.712831952E-8;1.388484381E-4;3.486911139E-8;1.784674370E-4;1.395505639E-7;7.142491016E-4;1.650084229E-7;8.445477717E-4;1.870349883E-8;9.572843606E-5
7.189583333E1;1.007453552E-7;5.207538343E-4;2.958491851E-8;1.529247648E-4;3.219480456E-8;1.664152941E-4;1.702884808E-7;8.802230050E-4;1.450278394E-7;7.496504754E-4;1.894270179E-8;9.791503111E-5
7.225000000E1;1.012190639E-7;5.283698398E-4;3.328752363E-8;1.737629538E-4;2.747256853E-8;1.434085248E-4;2.038410028E-7;1.064062774E-3;1.194050257E-7;6.233016972E-4;1.895731846E-8;9.895838719E-5
7.260416667E1;1.011471202E-7;5.331833908E-4;3.771698576E-8;1.988199993E-4;2.177676737E-8;1.147932897E-4;2.402915628E-7;1.266664538E-3;9.237588965E-8;4.869470331E-4;1.906493688E-8;1.004982413E-4
7.295833333E1;1.008814028E-7;5.369834753E-4;4.175145585E-8;2.222395927E-4;1.623710287E-8;8.642877367E-5;2.798270576E-7;1.489496594E-3;6.777272113E-8;3.607486645E-4;1.932481807E-8;1.028644297E-4
7.331250000E1;1.007884874E-7;5.417101669E-4;4.406559488E-8;2.368403512E-4;1.180437480E-8;6.344524065E-5;3.224514027E-7;1.733086860E-3;4.812757120E-8;2.586723473E-4;1.947746175E-8;1.046859549E-4
7.366666667E1;1.009882080E-7;5.480405628E-4;4.368963237E-8;2.370939261E-4;9.283291922E-9;5.037836230E-5;3.676950263E-7;1.995399198E-3;3.440883582E-8;1.867291056E-4;1.911339825E-8;1.037241649E-4
7.402083333E1;1.011739530E-7;5.543405636E-4;4.042271990E-8;2.214794685E-4;9.389876274E-9;5.144791867E-5;4.144565166E-7;2.270841972E-3;2.638592318E-8;1.445706834E-4;1.792924656E-8;9.823584381E-5
7.437500000E1;1.006857835E-7;5.569575704E-4;3.489459094E-8;1.930243368E-4;1.284830496E-8;7.107220566E-5;4.610552103E-7;2.550391732E-3;2.332290756E-8;1.290139429E-4;1.590958121E-8;8.800608575E-5
7.472916667E1;9.888157055E-8;5.521990235E-4;2.829521286E-8;1.580131548E-4;2.071829982E-8;1.157002752E-4;5.054458964E-7;2.822636502E-3;2.459723304E-8;1.373619775E-4;1.335715841E-8;7.459236128E-5
