"Distance (cm)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
3.400000000E1;5.324869495E-8;6.155549136E-5;1.788217954E-7;2.067179955E-4;2.213871007E-7;2.559234884E-4;4.919999651E-7;5.687519597E-4;4.092880324E-8;4.731369655E-5;1.749586530E-7;2.022522029E-4
3.435416667E1;4.967990821E-8;5.863266323E-5;1.659506245E-7;1.958563820E-4;2.418413998E-7;2.854233404E-4;4.769600394E-7;5.629124202E-4;4.478457119E-8;5.285514356E-5;1.652778375E-7;1.950623529E-4
3.470833333E1;4.736199424E-8;5.705549796E-5;1.453029939E-7;1.750419256E-4;2.478581980E-7;2.985869395E-4;4.536038985E-7;5.464422839E-4;5.610574557E-8;6.758881890E-5;1.507752181E-7;1.816341412E-4
3.506250000E1;4.594131884E-8;5.647928831E-5;1.204705079E-7;1.481039013E-4;2.426833406E-7;2.983497798E-4;4.236065504E-7;5.207729576E-4;7.640051189E-8;9.392517775E-5;1.311502793E-7;1.612333870E-4
3.541666667E1;4.497586864E-8;5.641504357E-5;9.663079590E-8;1.212078994E-4;2.330278543E-7;2.922962235E-4;3.889535110E-7;4.878800550E-4;1.064032316E-7;1.334658590E-4;1.088473574E-7;1.365316245E-4
3.577083333E1;4.416291789E-8;5.650877276E-5;7.849513654E-8;1.004386496E-4;2.261524403E-7;2.893739243E-4;3.514266311E-7;4.496688305E-4;1.449694980E-7;1.854960861E-4;8.757092510E-8;1.120515977E-4
3.612500000E1;4.353982897E-8;5.682015712E-5;6.869649088E-8;8.964999399E-5;2.277680472E-7;2.972408605E-4;3.123408718E-7;4.076097180E-4;1.883976851E-7;2.458619227E-4;7.070058432E-8;9.226536723E-5
3.647916667E1;4.347633689E-8;5.785524843E-5;6.712518036E-8;8.932546445E-5;2.409722064E-7;3.206688480E-4;2.726034175E-7;3.627614370E-4;2.306171987E-7;3.068891327E-4;6.016974030E-8;8.006965448E-5
3.683333333E1;4.441201457E-8;6.025353343E-5;7.128566116E-8;9.671286047E-5;2.659995931E-7;3.608801701E-4;2.330086893E-7;3.161215942E-4;2.643625555E-7;3.586592103E-4;5.601069496E-8;7.598939869E-5
3.718750000E1;4.647087254E-8;6.426504160E-5;7.742100597E-8;1.070662955E-4;3.002375829E-7;4.152016027E-4;1.945191970E-7;2.690025731E-4;2.830426663E-7;3.914225779E-4;5.653602388E-8;7.818424162E-5
3.754166667E1;4.918757104E-8;6.932381834E-5;8.193474263E-8;1.154769201E-4;3.383430899E-7;4.768528797E-4;1.583049073E-7;2.231112535E-4;2.826728904E-7;3.983925957E-4;5.899254059E-8;8.314271431E-5
3.789583333E1;5.153901403E-8;7.401487830E-5;8.257998242E-8;1.185926325E-4;3.728366533E-7;5.354285495E-4;1.255516692E-7;1.803040219E-4;2.631219845E-7;3.778679516E-4;6.048578610E-8;8.686328564E-5
3.825000000E1;5.231838455E-8;7.654506649E-5;7.894863739E-8;1.155067908E-4;3.956698917E-7;5.788897809E-4;9.714965901E-8;1.421360230E-4;2.281635371E-7;3.338175150E-4;5.892520708E-8;8.621126078E-5
3.860416667E1;5.067148425E-8;7.551478487E-5;7.215890212E-8;1.075370902E-4;4.009464022E-7;5.975230794E-4;7.348845668E-8;1.095185010E-4;1.843192395E-7;2.746875867E-4;5.368143075E-8;8.000045302E-5
3.895833333E1;4.649001509E-8;7.056030112E-5;6.401236846E-8;9.715488336E-5;3.875612213E-7;5.882217164E-4;5.445846549E-8;8.265443055E-5;1.390135338E-7;2.109880322E-4;4.566665481E-8;6.931064462E-5
3.931250000E1;4.044169311E-8;6.250153087E-5;5.611928454E-8;8.673081975E-5;3.597596214E-7;5.559986577E-4;3.962184318E-8;6.123447523E-5;9.882419689E-8;1.527300941E-4;3.680047193E-8;5.687412310E-5
3.966666667E1;3.363676378E-8;5.292557910E-5;4.946199448E-8;7.782570043E-5;3.250519361E-7;5.114511631E-4;2.842482683E-8;4.472488586E-5;6.847341086E-8;1.077391079E-4;2.923872800E-8;4.600551414E-5
4.002083333E1;2.714069131E-8;4.347035236E-5;4.460251789E-8;7.143838551E-5;2.909150737E-7;4.659491026E-4;2.031701108E-8;3.254108824E-5;5.076352594E-8;8.130626941E-5;2.486656556E-8;3.982795996E-5
4.037500000E1;2.160800893E-8;3.522409318E-5;4.232106992E-8;6.898929537E-5;2.623842312E-7;4.277231947E-4;1.477565247E-8;2.408639135E-5;4.716061359E-8;7.687843211E-5;2.524137286E-8;4.114698734E-5
4.072916667E1;1.719458389E-8;2.852349370E-5;4.404628752E-8;7.306684552E-5;2.413676394E-7;4.003963334E-4;1.127876516E-8;1.870994896E-5;5.845706756E-8;9.697238440E-5;3.169820986E-8;5.258305145E-5
